ID	part	cut	impact	shot	fire	water	thunder	ice	dragon	KO	exhaust
0	Head	21	21	20	0	10	10	10	20	100	100
1	Neck	40	40	30	5	10	15	10	15	0	100
2	Back	20	20	15	5	10	20	10	25	0	100
3	Stomach	24	24	20	0	5	15	5	15	0	100
4	Tail	40	40	30	5	5	10	5	15	0	100
5	Wings	35	35	30	0	10	20	10	25	0	100
6	Feet	24	24	20	0	5	10	5	15	0	100
7	Tail Tip	20	20	15	0	5	10	5	15	0	100
8	Head (Broken)	45	45	35	0	10	10	10	20	100	100
9	Neck (Broken)	45	45	30	5	10	15	10	15	0	100
10	Back (Broken)	38	38	45	5	10	20	10	25	0	100
11	Stomach (Broken)	20	25	15	0	5	15	5	15	0	100
12	Tail (Broken)	45	45	30	5	5	10	5	15	0	100
13	Feet (Broken)	30	25	30	0	5	10	5	15	0	100
14	Tail Tip (Broken)	38	38	35	0	5	10	5	20	0	100
15	Back (Gen)	19	19	15	5	10	20	10	25	0	100
16	Tail Tip (Gen)	19	19	15	0	5	10	5	15	0	100
17	Back (Broken, Gen)	38	38	43	5	10	20	10	25	0	100
