ID	part	cut	impact	shot	fire	water	thunder	ice	dragon	KO	exhaust
0	Head	65	55	55	0	10	20	5	15	100	100
1	Claws	17	17	10	0	10	20	10	10	0	100
2	Neck	44	44	25	0	10	20	5	15	0	100
3	Stomach	25	30	20	15	15	15	10	15	0	100
4	Forelegs	25	25	20	0	10	20	10	10	0	100
5	Tail	35	30	20	0	5	15	0	15	0	100
6	Back	17	17	10	0	10	20	10	10	0	100
7	Hind Legs	40	40	40	0	5	10	0	5	0	100
8	Head (Enraged)	70	65	60	0	10	20	5	15	130	100
9	Neck (Enraged)	44	44	30	0	10	20	5	15	0	100
10	Stomach (Enraged)	30	35	20	15	15	15	10	15	0	100
11	Back (Enraged)	25	25	20	0	15	20	15	15	0	100
12	Forelegs (Enraged)	57	57	30	0	10	15	10	10	0	100
13	Claws (Broken)	25	25	20	0	15	20	15	15	0	100
14	Forelegs (Enraged, Gen)	65	65	30	0	10	15	10	10	0	100
