ID	part	cut	impact	shot	fire	water	thunder	ice	dragon	KO	exhaust
0	Head	50	65	50	15	0	0	5	0	100	150
1	Poison Spikes	28	30	20	10	0	0	0	0	0	120
2	Body	36	36	40	25	0	0	5	0	0	120
3	Stomach	60	45	45	15	0	20	5	0	0	100
4	Claws	20	30	20	5	0	10	0	0	0	200
5	Thigh	35	30	25	20	0	0	5	0	0	120
6	Leg Tip	28	35	65	25	0	0	5	0	0	100
7	Head (Uncovered)	50	65	50	5	0	10	5	0	100	130
8	Poison Spikes (Uncovered)	28	42	35	5	0	35	5	0	0	100
9	Body (Uncovered)	36	36	40	5	0	25	5	0	0	100
10	Stomach (Uncovered)	60	45	45	5	0	20	5	0	0	100
11	Thigh (Uncovered)	35	30	25	5	0	15	5	0	0	120
12	Leg Tip (Uncovered)	28	35	65	5	0	5	0	0	0	120
