ID	part	cut	impact	shot	fire	water	thunder	ice	dragon	KO	exhaust
0	Head	65	55	55	0	10	20	5	15	100	100
1	Neck	44	44	25	0	10	20	5	15	0	100
2	Stomach	25	30	20	15	15	15	10	15	0	100
3	Back	44	40	30	0	15	25	10	5	0	100
4	Tail	35	30	20	0	5	15	0	15	0	100
5	Forelegs	25	25	25	0	10	20	10	10	0	100
6	Hind Legs	40	40	40	0	5	10	0	5	0	100
7	Head (Enraged)	70	65	60	0	10	20	5	15	130	100
8	Neck (Enraged)	44	44	30	0	10	20	5	15	0	100
9	Belly (Enraged)	30	35	20	15	15	15	10	15	0	100
10	Back (Enraged)	40	35	35	0	15	25	10	5	0	100
11	Front Legs (Enraged)	30	30	25	0	10	15	10	10	0	100
