ID	part	cut	impact	shot	fire	water	thunder	ice	dragon	KO	exhaust
0	Head	45	45	65	20	5	20	0	15	100	100
1	Neck / Back	20	30	20	15	5	15	0	10	0	100
2	Stomach	25	20	15	15	5	10	0	10	0	100
3	Forelegs	20	25	15	20	5	25	0	10	0	100
4	Hind Legs	30	35	15	15	5	15	0	15	0	100
5	Chest	35	40	25	15	5	15	0	10	0	100
6	Tail	30	25	30	25	5	10	0	15	0	100
7	Head (Stomach Broken)	50	45	70	25	5	20	0	20	100	100
8	Neck / Back (Stomach Broken)	30	40	30	15	5	15	0	10	0	100
9	Stomach (Stomach Broken)	40	50	30	20	5	15	0	15	0	100
10	Forelegs (Stomach Broken)	25	30	20	20	5	25	0	10	0	100
11	Hind Legs (Stomach Broken)	30	35	20	15	5	15	0	20	0	100
12	Chest (Stomach Broken)	30	25	15	20	5	10	0	10	0	100
13	Tail (Stomach Broken)	30	30	40	25	5	10	0	15	0	100
