ID	name	combo	MV	hitCount	damageType	sharpnessMod	elementMod	KO	exhaust	moveElement	mindsEye	aerial	miscNotes
0	Draw Slashes	X	28	4	Cut	1	1	0	0		No	No	
1	Draw Slashes (Single Hit)	X	7	1	Cut	1	1	0	0		No	No	
2	Up Slash	B X	18	1	Cut	1	1	0	0		No	No	
3	Twice Slice I	X	20	2	Cut	1	1	0	0		No	No	
4	Twice Slice I (Hit 1)	X	8	1	Cut	1	1	0	0		No	No	
5	Twice Slice I (Hit 2)	X	12	1	Cut	1	1	0	0		No	No	
6	Twice Slice II	X X	17	2	Cut	1	1	0	0		No	No	
7	Twice Slice II (Hit 1)	X X	7	1	Cut	1	1	0	0		No	No	
8	Twice Slice II (Hit 2)	X X	10	1	Cut	1	1	0	0		No	No	
9	Double Down Slashes	X X X	36	3	Cut	1	1	0	0		No	No	
10	Double Down Slash (Hit 1)	X X X	10	1	Cut	1	1	0	0		No	No	
11	Double Down Slash (Hits 2/3)	X X X	13	1	Cut	1	1	0	0		No	No	
12	Dual Side Slash	A	17	2	Cut	1	1	0	0		No	No	
13	Dual Side Slash (Hit 1)	A	7	1	Cut	1	1	0	0		No	No	
14	Dual Side Slash (Hit 2)	A	10	1	Cut	1	1	0	0		No	No	
15	Spinning Slashes	A A	30	3	Cut	1	1	0	0		No	No	
16	Spinning Slashes (Hit 1)	A A	16	1	Cut	1	1	0	0		No	No	
17	Spinning Slashes (Hit 2)	A A	6	1	Cut	1	1	0	0		No	No	
18	Spinning Slashes (Hit 3)	A A	8	1	Cut	1	1	0	0		No	No	
19	Left Side Slash	A	21	2	Cut	1	1	0	0		No	No	
20	Left Side Slash (Hit 1)	A	9	1	Cut	1	1	0	0		No	No	
21	Left Side Slash (Hit 2)	A	12	1	Cut	1	1	0	0		No	No	
22	Jump Slash	X	23	2	Cut	1	1	0	0		Yes	Yes	
23	Jump Slash (Hit 1)	X	10	1	Cut	1	1	0	0		Yes	Yes	
24	Jump Slash (Hit 2)	X	13	1	Cut	1	1	0	0		Yes	Yes	
25	Demon Whirling Dervish	Sp. Attack	42	6	Cut	1	1	0	0		Yes	No	54 (8 * 4+11 * 2) -> 42 (5 * 4+11 * 2)
