ID	name	health	defense	KO	exhaust	GRank
0	Village 5 The Thunderclaw Wyvern	2340	1	1	1	
1	Village 6 The Fated Four	1935	1	1	1.05	
2	Village 6 Advanced: The Field's a Stage	3420	0.85	1.3	1.6	
3	Village 9 Flappy Pest	4770	0.95	1.3	1.3	
4	Village 9 Alas, Astalos Again	4770	0.95	1.3	1.3	
5	*Village 10 Advanced: Generations Unite!*	5580	0.8	1.4	1.8	
6	Hub 3 A Shocking Scoundrel	3420	0.95	1.2	1.25	
7	Hub 3 Fro Shizzle	3420	0.95	1.2	1.25	
8	Hub 6 The Lightning Crown	5850	0.85	1.3	1.6	
9	Hub 6 Astalos Territory	5850	0.85	1.3	1.6	
10	Hub 6 Dances with Wyverns	4230	0.85	1.3	1.6	
11	Hub 7 A Gathering of Wyverns	4500	0.85	1.3	1.6	
12	Hub 7 The Mountain God's Lightning	4500	0.85	1.3	1.6	
13	Hub 7 A Shocking Revelation!	4230	0.85	1.3	1.6	
14	*Hub 7 Wyvernlit Evening*	7470	0.8	1.4	1.85	
15	*Hub 7 The Marshlands Nightmare*	5445	0.85	1.3	1.6	
16	*Hub 7 The Winged Wyverns*	5445	0.85	1.3	1.6	
17	Hub G3 Pinnacle Pioneering	10035	0.8	1.5	1.9	G
18	Hub G3 Hunter Dojo: Lightning Wushu	10035	0.8	1.5	1.9	G
19	Hub G3 Down With This Sort of Thing	8010	0.8	1.5	1.9	G
20	Hub G4 Verdant Hills Missive	8415	0.8	1.5	2	G
21	*Hub G4 If These Rocks Could Talk*	17325	0.75	2	2.5	G
22	*Hub G4 Pinnacle Problems*	10980	0.75	2	2.5	G
23	*Hub G4 Path of the Hunter*	8550	0.75	2	2.5	G
24	Dreadqueen G5: Hunt	7875	0.75	1.7	2.3	G
25	Deadeye VIII: Hunt	5310	0.85	1.3	1.6	
26	Dreadking VI: Hunt	5310	0.85	1.3	1.6	
27	*Thunderlord G5: Hunt*	9225	0.75	1.6	2.2	G
28	Soulseer G2: Hunt	8010	0.8	1.5	2	G
29	*Boltreaver G4: Hunt*	10305	0.75	1.5	2.1	G
30	Hub 1 DLC Uniqlo Shock Fest	5310	0.85	1.3	1.6	
31	Hub 1 DLC Uniqlo Shock Fest	5310	0.85	1.3	1.6	
32	*Hub 1 DLC The Five Kings of Destruction*	8010	0.8	1.4	1.8	
33	*Hub DLC Violence in the Verdure*	19350	0.75	2	2.5	G
34	Arena DLC Event: Slay an Astalos	3825	0.85	1.15	1.5	
35	*Arena DLC Event: Hunt-a-thon 3*	1800	0.85	1.15	1.5	
36	Arena DLC Event: Hunt-a-thon 4	1800	0.85	1.15	1.5	
37	Hub 3 A Shocking Scoundrel (Gen)	3420	0.95	1	1.25	
38	Hub 3 Fro Shizzle (Gen)	3420	0.95	1	1.25	
39	Hub 6 Dances with Wyverns (Gen)	4230	0.85	1.25	1.6	
40	Hub 7 A Shocking Revelation! (Gen)	4230	0.85	1.25	1.6	
41	*Hub 7 Wyvernlit Evening (Gen)*	8550	0.8	2	1.85	
42	*Hub 7 The Marshlands Nightmare (Gen)*	6390	0.8	1.6	1.65	
43	*Hub 7 The Winged Wyverns (Gen)*	6390	0.8	1.6	1.65	
44	*Blazing Thunder at USJ (Gen)*	8010	0.8	1.9	1.8	
45	*Hub 1 DLC The Five Kings of Destruction (Gen)*	8010	0.8	1.9	1.8	
