ID	name	health	defense	KO	exhaust	GRank
0	Village 4 The New Tenant	2058	1	0.95	0.95	
1	Village 5 Two Roars in the Snow	1554	1	1	1	
2	Village 6 Bristly Fanged Beasts	1806	1	1	1.05	
3	Village 6 Advanced: State in Flux	2940	0.85	1.3	1.6	
4	Village 8 Whiteout	4074	0.95	1.1	1.2	
5	Village 9 Snowball Skirmish	3318	0.95	1.3	1.3	
6	Hub 2 The New Tenant	2814	0.95	1.1	1.2	
7	Hub 5 The New Tenant	4704	0.85	1.3	1.5	
8	Hub 6 Bl-Bl-Blangongas!	3948	0.85	1.3	1.6	
9	*Hub 6 Hyper for Holes*	6342	0.8	1.3	1.75	
10	Hub 7 A Man's Arena is His Castle	3948	0.85	1.3	1.6	
11	*Hub 7 The Fanged Beasts*	5082	0.85	1.3	1.6	
12	Hub G2 Earn Your Strength	8862	0.8	1.4	1.85	G
13	Hub G2 We've Reached Peak Blangonga	7350	0.8	1.4	1.85	G
14	Hub G2 We've Reached Peak Blangonga	6846	0.8	1.4	1.85	G
15	*Hub G3 Shhhhut Up*	15120	0.75	2	2.5	G
16	Snowbaron VIII: Hunt	4956	0.85	1.3	1.6	
17	*Elderfrost G4: Hunt*	9618	0.75	1.5	2.1	G
18	*Hub 1 DLC Star Fox: Battle at Arctic Ridge*	9240	0.8	1.5	1.9	
19	Hub 1 DLC No Party Poopers!	4956	0.85	1.3	1.6	
20	Hub DLC "My Love is Like a Chill Wind...?"	8610	0.75	1.5	2.1	G
21	Hub 6 Bl-Bl-Blangongas! (Gen)	3948	0.85	1.25	1.6	
22	*Hub 6 Hyper for Holes (Gen)*	7098	0.8	1.7	1.7	
23	Hub 7 A Man's Arena is His Castle (Gen)	3948	0.85	1.25	1.6	
24	*Hub 7 The Fanged Beasts (Gen)*	5964	0.80	1.6	1.65	
25	*Hub 1 DLC Star Fox: Battle at Arctic Ridge (Gen)*	9240	0.8	2.1	1.9	
26	*Hub 1 DLC Mario: The White Donkey Kong? (Gen)*	4452	0.9	1.1	1.5	
