ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Brachydios Mio!	2745	1	1	1.05	
1	Village 6 Break the Brachydios	2745	1	1	1.05	
2	Village 6 Advanced: State in Flux	3150	0.85	1.3	1.6	
3	Village 10 Bad Hair Day: Brachydios	5445	0.95	1.3	1.4	
4	Village 10 Bag a Brachydios	5445	0.95	1.3	1.4	
5	Village 10 Advanced: Proof of a Hero	5445	0.8	1.3	1.75	
6	Hub 3 Isle About that Bass	3420	0.95	1.2	1.25	
7	Hub 3 Rumble in the Volcano	2475	0.95	1	1.1	
8	Hub 7 Rocked and Rolled	6255	0.85	1.3	1.6	
9	Hub 7 Repaying the Favor	6255	0.85	1.3	1.6	
10	*Hub 7 Steam and Smoke*	7470	0.8	1.4	1.85	
11	*Hub 7 The Beasts of Brawn*	5040	0.85	1.3	1.6	
12	Hub G4 Slam Gunk	12150	0.8	1.5	2	G
13	Hub G4 Brachydios Bypass	12150	0.8	1.5	2	G
14	Hub G4 Fiery Four-way Fracas	7875	0.8	1.5	2	G
15	*Hub G4 Even Brachydios Need A Holiday*	17325	0.75	2	2.5	G
16	Drilltusk IX: Hunt	6119	0.85	1.4	1.65	
17	Arena Grudge Match: Brachydios	2880	0.85	1.1	1.4	
18	Hub 1 DLC The Three Virtues	5310	0.85	1.3	1.6	
19	*Hub 1 DLC Not Stepping One Foot...*	10575	0.8	1.5	2	
20	*Hub 1 DLC How It's Done*	8010	0.8	1.4	0.8	
21	Hub 1 DLC The Greatest Hunter	5715	0.85	1.3	1.6	
22	*Hub DLC Drifters: Isle of Lost Souls*	14625	0.75	2	2.5	G
23	*Hub DLC Monster Hunter Channel II*	7740	0.75	1.6	2.2	G
24	Arena DLC XX Trials: Brachydios	3825	0.85	1.15	1.5	G
