ID	name	health	defense	KO	exhaust	GRank
0	Village 2 The Mountain Roughrider	774	1	0.95	0.95	
1	Village 3 A Forest Fracas	936	1	0.95	0.95	
2	Village 6 Bristly Fanged Beasts	882	1	1	1.05	
3	Hub 1 Bulldrome of the Peaks	1206	0.95	1.1	1.15	
4	Hub 4 The Bulldrome Charges	2070	0.9	1.3	1.5	
5	Hub 4 A Powerful Team	1368	0.95	1.2	1.25	
6	Hub 6 Marshlands Rag	1800	0.85	1.3	1.6	
7	Hub G1 Survival of the Biggest	3258	0.8	1.4	1.8	G
8	Village 6 Poison and Fangs	1044	1	1	1	
9	Hub 3 Out of the Frying Pan	1260	0.95	1.1	1.2	
10	Hub 7 Meownster Hunter	1800	0.85	1.3	1.6	
11	Hub G4 Meownster Hunter Ultimate	2988	0.8	1.3	1.65	G
12	Snowbaron V: Hunt	1800	0.85	1.3	1.6	
13	Dreadqueen VIII: Hunt	2232	0.85	1.3	1.6	
14	Dreadking VIII: Hunt	2232	0.85	1.3	1.6	
15	Thunderlord X: Hunt	2394	0.85	1.3	1.6	
16	Grimclaw VII: Hunt	2232	0.85	1.3	1.6	
17	Hellblade VII: Hunt	2232	0.85	1.3	1.6	
18	Hub 1 DLC A Hero's Return	2016	0.9	1.3	1.5	
19	Hub 1 DLC Fan Club: Arena Action	2502	0.85	1.3	1.6	
20	Snowbaron V: Hunt (Gen)	1800	0.85	1.25	1.6	
21	Thunderlord X: Hunt (Gen)	2394	0.85	1.5	1.6	
22	Hub 1 DLC A Hero's Return (Gen)	2016	0.9	1.1	1.5	
