ID	name	health	defense	KO	exhaust	GRank
0	Crystalbeard I: Hunt	6985	0.85	1.3	1.6	
1	Crystalbeard II: Capture	6985	0.85	1.3	1.6	
2	Crystalbeard III: Hunt	5995	0.85	1.3	1.6	
3	Crystalbeard IV: Hunt	5995	0.85	1.3	1.6	
4	Crystalbeard V: Hunt	7975	0.8	1.3	1.75	
5	Crystalbeard VI: Hunt	6490	0.85	1.3	1.6	
6	Crystalbeard VII: Capture	8470	0.8	1.4	1.8	
7	Crystalbeard VIII: Hunt	6820	0.85	1.3	1.6	
8	Crystalbeard IX: Hunt	7315	0.85	1.4	1.65	
9	Crystalbeard X: Hunt	6820	0.85	1.3	1.6	
10	Crystalbeard X: Hunt	7315	0.85	1.4	1.65	
11	Crystalbeard G1: Capture	12760	0.8	1.5	2	G
12	Crystalbeard G2: Hunt	9460	0.8	1.5	2	G
13	Crystalbeard G2: Hunt	11274	0.75	1.5	2.1	G
14	Crystalbeard G3: Hunt	10450	0.75	1.5	2.1	G
15	Crystalbeard G4: Hunt	14024	0.75	1.6	2.2	G
16	Crystalbeard G5: Hunt	15125	0.75	2	2.5	G
17	Crystalbeard EX: Hunt	24750	0.7	2.8	3.5	G
18	Crystalbeard V: Hunt (Gen)	7975	0.8	1.8	1.75	
19	Crystalbeard VII: Capture (Gen)	8470	0.8	1.9	1.8	
20	Crystalbeard VIII: Hunt (Gen)	6820	0.85	1.5	1.6	
21	Crystalbeard IX: Hunt (Gen)	7315	0.85	1.6	1.65	
22	Crystalbeard X: Hunt (Gen)	6820	0.85	1.5	1.6	
23	Crystalbeard X: Hunt (Gen)	7315	0.85	1.6	1.65	
