ID	name	health	defense	KO	exhaust	GRank
0	Village 3 Crustacean Frustration	1518	1	0.95	0.95	
1	Village 3 The Crabbiest Catch	1518	1	0.95	0.95	
2	Village 4 Hunt-a-thon: Daimyo Hermitaur	1023	1	0.95	0.95	
3	Village 5 Scientific Method	1221	1	1	1	
4	Village 6 Advanced: Seeing Red	2310	0.9	1.3	1.5	
5	Village 7 Fashion Victim	3102	0.95	1	1.1	
6	Village 7 Dune the Honors	2310	0.95	1	1.1	
7	Hub 1 Shells of Steel	2013	0.95	1.1	1.15	
8	Hub 4 Shells of Steel	3597	0.9	1.3	1.5	
9	Hub 5 Desert Brawlers	2805	0.85	1.3	1.5	
10	*Hub 6 Daimyo of the Deserted Island*	5478	0.8	1.3	1.75	
11	Hub G1 Daimyo Hermitaur Flambé	6270	0.8	1.4	1.8	G
12	Hub G1 Surprise!	4785	0.8	1.4	1.8	G
13	*Hub G2 So Notable: Hyper Hermitaur*	11220	0.75	1.6	2.2	G
14	Hub G3 Searing Sands	5180	0.8	1.5	1.9	G
15	Village 6 D. Hermitaur Shellbreaker	4290	1	0.95	0.95	
16	Stonefist V: Hunt	3102	0.85	1.3	1.6	
17	*Hub 1 DLC The Obvious Choice...*	7260	0.8	1.5	1.9	
18	*Hub DLC Kingdom: Test of the Best*	11220	0.75	1.6	2.2	G
19	Village 6 Advanced: Seeing Red (Gen)	2310	0.9	1.1	1.5	
20	Hub 4 Shells of Steel (Gen)	3597	0.9	1.1	1.5	
21	Hub 5 Desert Brawlers	2805	0.85	1.2	1.5	
22	*Hub 6 Daimyo of the Deserted Island*	6270	0.8	1.8	1.75	
23	Stonefist V: Hunt	3102	0.85	1.25	1.6	
24	Village 6 D. Hermitaur Shellbreaker	1913	1	0.95	0.95	
25	*Hub 1 DLC The Obvious Choice...*	7260	0.8	2.1	1.9	
