ID	name	health	defense	KO	exhaust	GRank
0	Deadeye I: Hunt	6350	0.85	1.3	1.6	
1	Deadeye II: Capture	6350	0.85	1.3	1.6	
2	Deadeye III: Hunt	5450	0.85	1.3	1.6	
3	Deadeye IV: Hunt	5450	0.85	1.3	1.6	
4	Deadeye V: Hunt	7250	0.8	1.3	1.75	
5	Deadeye VI: Hunt	5900	0.85	1.3	1.6	
6	Deadeye VII: Capture	7700	0.8	1.4	1.8	
7	Deadeye VIII: Hunt	6200	0.85	1.3	1.6	
8	Deadeye IX: Hunt	6650	0.85	1.4	1.65	
9	Deadeye X: Hunt	6650	0.85	1.4	1.65	
11	Deadeye G1: Capture	11600	0.8	1.5	2	G
12	Deadeye G2: Hunt	12200	0.75	1.5	2.1	G
13	Deadeye G3: Hunt	8600	0.8	1.5	2	G
14	Deadeye G3: Hunt	10250	0.75	1.5	2.1	G
15	Deadeye G4: Hunt	9950	0.75	1.6	2.2	G
16	Deadeye G5: Hunt	8450	0.75	1.7	2.3	G
17	Deadeye G5: Hunt	13250	0.75	2	2.5	G
18	Deadeye EX: Hunt	23750	0.7	3	3.75	G
19	Nightcloak G5: Hunt	8450	0.75	1.8	2.4	G
20	Arena DLC XX Trials: Deadeye	8000	0.85	1.15	1.5	G
21	Deadeye V: Hunt (Gen)	7250	0.8	1.8	1.75	
22	Deadeye VII: Capture (Gen)	7700	0.8	1.4	1.8	
23	Deadeye VIII: Hunt (Gen)	6200	0.85	1.5	1.6	
24	Deadeye IX: Hunt (Gen)	6650	0.85	1.6	1.65	
25	Deadeye X: Hunt (Gen)	6650	0.85	1.6	1.65	
