ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Advanced: Out of the Fry Pan	6600	0.85	1.3	1.6	
1	Village 10 Deviljho Dispossession	7392	0.9	1.3	1.5	
2	Village 10 Deviljho Food Cake	7392	0.9	1.3	1.5	
3	*Village 10 Advanced: The Master's Test*	7986	0.9	1.3	1.5	
4	Hub 6 Bedevil a Deviljho	8580	0.85	1.3	1.6	
5	Hub 7 You Bet Your Life	8580	0.85	1.3	1.6	
6	*Hub 7 Steppe in the Right Direction*	13728	0.8	1.5	2	
7	Hub G4 Deviljho Hunt	14124	0.75	1.5	2	G
8	Hub G4 Everything in Moderation	14124	0.75	1.5	2	G
9	Hub G4 The Ol' Razzle Dazzle	12540	0.75	1.5	2	G
10	*Hub G4 Pitched Pinnacle Battle*	21450	0.75	2	2.5	G
11	*Hub 1 DLC The Voracious King*	14915	0.8	1.5	2	
12	*Hub 1 DLC The Five Kings of Destruction*	11748	0.8	1.4	1.8	
13	Arena DLC Event: Hunt-a-thon 2	5610	0.85	1.15	1.5	
