ID	name	health	defense	KO	exhaust	GRank
0	Village 10 Duel With the Devil	5445	0.95	1.3	1.4	
1	Village 10 Horned and Dangerous	5445	0.95	1.3	1.4	
2	*Village 10 Advanced: The Master's Test*	6255	0.8	1.4	1.8	
3	Hub 7 Legendary Skills?	7064	0.8	1.4	1.8	
4	Hub G4 Beware Twin Horns on the Sand	10440	0.8	1.5	2	G
5	Hub G4 Diabolical Delight	10440	0.8	1.5	2	G
6	*Hub G4 Backwater Battle*	17325	0.75	2	2.5	G
7	*Hub G4 Path of the Hunter*	10575	0.75	2	2.5	G
8	Bloodbath G3: Hunt	9225	0.75	1.6	2.2	G
9	Hub DLC Forewarned is Four-Horned	9225	0.75	1.6	2.2	G
