ID	name	health	defense	KO	exhaust	GRank
0	Dreadqueen G5: Hunt	7685	0.75	1.7	2.3	G
1	Dreadking I: Hunt	7207	0.85	1.3	1.6	
2	Dreadking II: Capture	7207	0.85	1.3	1.6	
3	Dreadking III: Hunt	5777	0.85	1.3	1.6	
4	Dreadking IV: Hunt	6254	0.85	1.3	1.6	
5	Dreadking V: Hunt	7685	0.8	1.3	1.75	
6	Dreadking VI: Hunt	6572	0.85	1.3	1.6	
7	Dreadking VII: Capture	8162	0.8	1.4	1.8	
8	Dreadking VIII: Hunt	6572	0.85	1.3	1.6	
9	Dreadking IX: Hunt	7049	0.85	1.4	1.65	
10	Dreadking X: Hunt	7049	0.85	1.4	1.65	
11	Dreadking G1: Capture	12296	0.8	1.5	2	G
12	Dreadking G2: Hunt	12932	0.75	1.5	2.1	G
13	Dreadking G3: Hunt	10864	0.75	1.5	2.1	G
14	Dreadking G3: Hunt	9116	0.8	1.5	2	G
15	Dreadking G4: Hunt	10547	0.75	1.6	2.2	G
16	Dreadking G5: Hunt	13250	0.75	1.8	2.4	G
17	Dreadking EX: Hunt	17225	0.7	3	3.75	G
18	Arena DLC XX Trials: Dreadking	5618	0.85	1.15	1.5	G
19	Dreadking I: Hunt (Gen)	7208	0.85	1.5	1.6	
20	Dreadking II: Capture (Gen)	7208	0.85	1.5	1.6	
21	Dreadking V: Hunt (Gen)	7685	0.8	1.8	1.75	
22	Dreadking VI: Hunt (Gen)	6572	0.85	1.5	1.6	
23	Dreadking VII: Capture (Gen)	8162	0.8	1.9	1.8	
24	Dreadking VIII: Hunt (Gen)	6572	0.85	1.5	1.6	
25	Dreadking IX: Hunt (Gen)	7049	0.85	1.6	1.65	
26	Dreadking X: Hunt (Gen)	7049	0.85	1.6	1.65	
