ID	name	health	defense	KO	exhaust	GRank
0	Dreadqueen I: Hunt	5600	0.9	1.3	1.5	
1	Dreadqueen II: Capture	5900	0.85	1.3	1.5	
2	Dreadqueen III: Hunt	4850	0.85	1.3	1.5	
3	Dreadqueen IV: Hunt	6350	0.85	1.3	1.6	
4	Dreadqueen V: Hunt	5450	0.85	1.3	1.6	
5	Dreadqueen VI: Hunt	5900	0.85	1.3	1.6	
6	Dreadqueen VII: Capture	7250	0.8	1.3	1.75	
7	Dreadqueen VIII: Hunt	6200	0.85	1.3	1.6	
8	Dreadqueen IX: Hunt	6650	0.85	1.4	1.65	
9	Dreadqueen X: Hunt	6650	0.85	1.4	1.65	
10	Dreadqueen G1: Capture	11150	0.8	1.5	2	G
11	Dreadqueen G2: Hunt	8300	0.8	1.5	2	G
12	Dreadqueen G2: Hunt	9650	0.8	1.5	2	G
13	Dreadqueen G3: Hunt	12200	0.75	1.5	2.1	G
14	Dreadqueen G4: Hunt	9950	0.75	1.6	2.2	G
15	Dreadqueen G5: Hunt	12500	0.75	1.8	2.4	G
16	Dreadqueen EX: Hunt	21250	0.7	2.8	3.5	G
17	Dreadking X: Hunt	6200	0.85	1.3	1.6	
18	Arena DLC XX Trials: Dreadqueen	6500	0.85	1.15	1.5	G
