ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Advanced: Twinkle Toes	5278	0.85	1.3	1.6	
1	Village 9 Mt. Duramboros	6148	0.95	1.3	1.3	
2	Village 9 Earn Your Gear	6148	0.95	1.3	1.3	
3	Village 10 Misty Peaks Missive	4756	0.95	1.3	1.4	
4	Hub 6 The Moving Mountain	7540	0.85	1.3	1.6	
5	Hub 6 For Whom the Gong Tolls	7540	0.85	1.3	1.6	
6	Hub 6 Marshlands Rag	5452	0.85	1.3	1.6	
7	*Hub 7 The Peril of the Land*	7018	0.85	1.3	1.6	
8	*Hub 7 Searching for Secret Baths*	5800	0.85	1.3	1.6	
9	*Hub 7 The Beasts of Brawn*	5800	0.85	1.3	1.6	
10	Hub G4 Misty Opportunity?	13455	0.8	1.5	2	G
11	Hub G4 A Titanic Clash	9802	0.8	1.5	2	G
12	*Hub G4 Appeal from Authority*	22330	0.75	2	2.5	G
13	Village 10 Duramboros Backbreaker!	11716	0.85	1.3	1.3	
14	Silverwind IX: Hunt	7887	0.85	1.4	1.65	
15	Hub 1 DLC The Untamed Mountains	6844	0.85	1.3	1.6	
