ID	name	health	defense	KO	exhaust	GRank
0	Village 10 Advanced: The Caravaneer's Challenge	4800	0.8	1.3	1.75	
1	Hub 7 Child of Destruction	7104	0.8	1.3	1.75	
2	Hub 7 A Shock in the Dark	5664	0.85	1.3	1.6	
3	Hub 7 A Shock in the Dark	5664	0.85	1.3	1.6	
4	Hub G4 The Jungle VIP	11712	0.75	1.5	2.1	G
5	Redhelm G5: Hunt	7680	0.75	1.6	2.2	G
6	Thunderlord G5: Hunt	8400	0.75	1.7	2.3	G
7	Hub 1 DLC Raging Twins	6096	0.85	1.3	1.6	
8	Hub 1 DLC Raging Twins	6096	0.85	1.3	1.6	
9	Hub 1 DLC Insanity and Destruction	6096	0.85	1.3	1.6	
10	Hub DLC Bequest Quest	12720	0.75	2	2.5	G
