ID	name	health	defense	KO	exhaust	GRank
0	Village 5 The Unwavering Colossus	2600	1	1	1	
1	Village 6 The Fated Four	2150	1	1	1.05	
2	Village 6 Advanced: The Field's a Stage	3800	0.85	1.3	1.6	
3	Village 9 Snow Joke	5300	0.95	1.3	1.3	
4	Village 9 Groan, Gammoth Again	5300	0.95	1.3	1.3	
5	*Village 10 Advanced: Generations Unite!*	6200	0.8	1.4	1.8	
6	Hub 3 Fury Run Afoul	3800	0.95	1.2	1.25	
7	Hub 6 The Unshakable Mountain God	6500	0.85	1.3	1.6	
8	Hub 6 Fury Run Afoul	6500	0.85	1.3	1.6	
9	Hub 6 A Three Hour Tour	4700	0.85	1.3	1.6	
10	Hub 7 A Cold Set of Armor	5000	0.85	1.3	1.6	
11	Hub 7 The Mountain God's Lightning	5000	0.85	1.3	1.6	
12	Hub 7 A Man's Arena is His Castle	4700	0.85	1.3	1.6	
13	*Hub 7 Wild Gods, Calm Rangers*	8300	0.8	1.4	1.85	
14	*Hub 7 The Fanged Beasts*	6050	0.85	1.3	1.6	
15	Hub G3 Ice Recovery	12200	0.8	1.5	1.9	G
16	Hub G3 Hunter Dojo: Tusk-fu	12200	0.8	1.5	1.9	G
17	*Hub G4 The Big Push*	20750	0.75	2	2.5	G
18	*Hub G4 Arctic Ridge Allegiances*	12200	0.75	2	2.5	G
19	*Hub G4 Path of the Hunter*	10250	0.75	2	2.5	G
20	Snowbaron X: Hunt	6350	0.85	1.3	1.6	
21	Drilltusk VIII: Hunt	5900	0.85	1.3	1.6	
22	*Hub 1 DLC Baki: Biggest vs. Strongest*	8600	0.8	1.3	1.75	
23	Hub 1 DLC The Three Virtues	5900	0.85	1.3	1.6	
24	*Hub 1 DLC The Five Kings of Destruction*	8900	0.8	1.4	1.8	
25	Hub 1 DLC A Mammoth Mistake	7400	0.8	1.3	1.75	
26	Hub 1 DLC The Untamed Mountains	5900	0.85	1.3	1.6	
27	*Hub DLC Big, Bad 'n' Woolly*	22500	0.75	2	2.5	G
28	Arena DLC Event: Slay a Gammoth	4250	0.85	1.15	1.5	
29	*Arena DLC Event: Hunt-a-thon 3*	2000	0.85	1.15	1.5	
30	Arena DLC Event: Hunt-a-thon 4	2000	0.85	1.15	1.5	
31	Village 5 The Unwavering Colossus (Gen)	2808	1	1	1	
32	Village 6 The Fated Four (Gen)	2322	1	1	1.05	
33	Village 6 Advanced: The Field's a Stage (Gen)	4104	0.85	1.3	1.6	
34	Hub 3 Fury Run Afoul (Gen)	4104	0.95	1.2	1.25	
35	Hub 6 The Unshakable Mountain God (Gen)	7020	0.85	1.3	1.6	
36	Hub 6 Fury Run Afoul (Gen)	7020	0.85	1.3	1.6	
37	Hub 6 A Three Hour Tour (Gen)	5076	0.85	1.25	1.6	
38	Hub 7 A Cold Set of Armor (Gen)	5400	0.85	1.3	1.6	
39	Hub 7 The Mountain God's Lightning (Gen)	5400	0.85	1.3	1.6	
40	Hub 7 A Man's Arena is His Castle (Gen)	5076	0.85	1.25	1.6	
41	*Hub 7 Wild Gods, Calm Rangers (Gen)*	10260	0.8	2	1.85	
42	*Hub 7 The Fanged Beasts (Gen)*	7668	0.85	1.6	1.65	
43	Snowbaron X: Hunt (Gen)	6858	0.85	1.5	1.6	
44	Drilltusk VIII: Hunt	6372	0.85	1.3	1.6	
45	*Hub 1 DLC Baki: Biggest vs. Strongest (Gen)*	9288	0.8	1.8	1.75	
46	Hub 1 DLC Frost and Fire at USJ (Gen)	6372	0.85	0.3	1.6	
47	Hub 1 DLC The Three Virtues (Gen)	6372	0.85	1.3	1.6	
48	*Hub 1 DLC The Five Kings of Destruction (Gen)*	9612	0.8	1.9	1.8	
49	Hub 1 DLC A Mammoth Mistake (Gen)	7992	0.8	1.8	1.75	
50	Hub 1 DLC The Untamed Mountains	6372	0.85	1.3	1.6	
51	Arena DLC Event: Slay a Gammoth	4590	0.85	1.15	1.5	
52	*Arena DLC Event: Hunt-a-thon 3*	2160	0.85	1.15	1.5	
53	Arena DLC Event: Hunt-a-thon 4	2160	0.85	1.15	1.5	
