ID	name	health	defense	KO	exhaust	GRank
0	Village 2 Gendrome Roadblock	1075	1	0.95	0.95	
1	Village 4 Hunt-a-thon: Gendrome	925	1	0.95	0.95	
2	Village 5 A Sandy Battle Royale	1075	1	1	1	
3	Village 9 Just a Mirage...?	2125	0.95	1.3	1.3	
4	Hub 1 Gendrome Roadblock	1675	0.95	1.1	1.15	
5	Hub 2 The Poison-fanged Duo	1375	0.95	1	1.05	
6	Hub 3 Wyvern Sand Runners	1525	0.95	1	1.1	
7	Hub 4 Gendrome Roadblock	2875	0.9	1.3	1.5	
8	Hub 4 A Powerful Team	1900	0.95	1.2	1.25	
9	Hub 5 Spotted Beauty	2275	0.85	1.3	1.5	
10	Hub G2 Minion's Devotion	4825	0.8	1.4	1.85	G
11	Hub G3 Searing Sands	5050	0.8	1.5	1.9	G
12	Village 10 Drome Rush!	2200	0.95	1.3	1.3	
13	Hub 5 Under the Blazing Sun	2800	0.85	1.3	1.5	
14	Hub 7 Monster Prowler	2500	0.85	1.3	1.6	
15	Hub G4 Meownster Hunter Ultimate	4150	0.8	1.3	1.65	G
16	Thunderlord VI: Hunt	3100	0.85	1.3	1.6	
17	Grimclaw III: Hunt	2650	0.85	1.3	1.6	
18	Arena Grudge Match: Bird Wyverns	1150	0.95	1	1.15	
19	Hub 1 DLC Fan Club: Great All Stars	2650	0.85	1.3	1.6	
20	Hub 4 Gendrome Roadblock (Gen)	2875	0.9	1.1	1.5	
21	Hub 4 A Powerful Team (Gen)	1900	0.95	1	1.25	
22	Hub 5 Spotted Beauty (Gen)	2275	0.85	1.2	1.5	
23	Hub DLC 1 The Uniqlo Avant-garde (Gen)	1600	0.95	1	1.2	
