ID	name	health	defense	KO	exhaust	GRank
0	Village 3 Tumultuous Sprouts	4687	0.9	1.3	1.5	
1	Village 6 The Scorching Blade	2623	1	1	1.05	
2	Village 6 From Beyond the Sands	2623	1	1	1.05	
3	Village 6 The Fated Four	1849	1	1	1.05	
4	Village 6 Advanced: Jurassic Treasure	3913	0.85	1.3	1.6	
5	Village 6 Advanced: The Goliaths	3010	0.9	1.3	1.5	
6	Village 6 Advanced: The Field's a Stage	3268	0.85	1.3	1.6	
7	Village 9 Desert Death Duel	4558	0.95	1.3	1.3	
8	Village 9 Great, Glavenus Again	4558	0.95	1.3	1.3	
9	Village 10 Advanced: Jurassic Pair	5590	0.8	1.3	1.75	
10	*Village 10 Advanced: Generations Unite!*	5332	0.8	1.4	1.8	
11	Hub 3 Flames of Glavenus Passion	3268	0.95	1.2	1.25	
12	Hub 3 Bladed Glavenus	3268	0.95	1.2	1.25	
13	Hub 3 An Early Jurassic Excursion	2365	0.95	1	1.1	
14	Hub 6 Duel in the Volcanic Hollow	5590	0.85	1.3	1.6	
15	Hub 6 From Beyond the Sands	5590	0.85	1.3	1.6	
16	Hub 6 A Hollow Defense	4041	0.85	1.3	1.6	
17	Hub 7 Hammer vs. Blade	4300	0.85	1.3	1.6	
18	Hub 7 Bewitching Heat	4300	0.85	1.3	1.6	
19	Hub 7 The Flames of War	4041	0.85	1.3	1.6	
20	*Hub 7 Savage Sword of the Desert*	7138	0.8	1.4	1.85	
21	*Hub 7 The Beasts of Brawn*	4816	0.85	1.3	1.6	
22	Hub G3 The Boiling Broiling Desert	9589	0.75	1.7	2.3	G
23	Hub G3 Hunter Dojo: Tail-do	9589	0.75	1.7	2.3	G
24	Hub G3 PR Disaster	7911	0.75	1.7	2.3	G
25	Hub G4 A Very Long Engravement	8299	0.75	1.8	2.4	G
26	Hub G4 Fiery Four-way Fracas	8041	0.75	1.8	2.4	G
27	*Hub G4 All Creatures Cleaved and Small*	16555	0.75	2	2.5	G
28	*Hub G4 A Bed of Sand*	10492	0.75	2	2.5	G
29	*Hub G4 Path of the Hunter*	8815	0.75	2	2.5	G
30	Stonefist VIII: Hunt	5074	0.85	1.3	1.6	
31	Crystalbeard VIII: Hunt	5074	0.85	1.3	1.6	
32	Dreadking G4: Hunt	8815	0.75	1.6	2.2	G
33	Hellblade X: Hunt	5461	0.85	1.3	1.6	
34	*Hellblade G3: Hunt*	9847	0.75	1.5	2.1	G
35	Hellblade G5: Hunt	8170	0.75	1.7	2.3	G
36	Rustrazor G5: Hunt	7911	0.75	1.7	2.3	G
37	Soulseer G2: Hunt	7654	0.8	1.5	2	G
38	*Hub 1 DLC The Five Kings of Destruction*	7654	0.8	1.4	1.8	
39	*Hub DLC Blade Blazing Brightly Black*	18490	0.75	2	2.5	G
40	*Hub DLC Monster Hunter Channel II*	8557	0.75	1.6	2.2	G
41	Hub DLC Baki: Deadly Claws	13760	0.75	1.5	2.1	G
42	Arena DLC Event: Slay a Glavenus	4300	0.85	1.15	1.5	
43	*Arena DLC Event: Hunt-a-thon 3*	1720	0.85	1.15	1.5	
44	Arena DLC Event: Hunt-a-thon 4	1720	0.85	1.15	1.5	
45	Arena DLC XX Trials: Hunt-a-thon IV	3655	0.85	1.15	1.5	G
