ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Advanced: Wrath of Rath	3572	0.85	1.3	1.6	
1	Village 10 Advanced: Heart of Gold	7660	0.8	1.4	1.85	G
2	Village 10 Advanced: Trial at the Pinnacle	6110	0.8	1.3	1.75	G
3	Hub 7 Ring of the Golden Lune	6956	0.8	1.3	1.75	
4	Hub 7 Usurpers of the Throne	5546	0.85	1.3	1.6	
5	*Hub 7 Fool's Gold*	9776	0.8	1.5	2	
6	*Hub 7 Shining Examples*	7802	0.8	1.4	1.85	
7	Hub G4 Gold Digger	11468	0.75	1.5	2.1	G
8	Hub G4 The Sun and the Moon	9494	0.75	1.5	2.1	G
9	*Hub G4 A Jurassic Frontier Just for You*	14335	0.75	2	2.5	G
10	*Hub G4 A Tragedy in Silver and Gold*	11750	0.75	2	2.5	G
11	Dreadqueen G4: Hunt	9635	0.75	1.6	2.2	G
12	Hub 1 DLC Moonlit Tryst	5969	0.85	1.3	1.6	
13	*Hub 1 DLC A Golden Moon Rises*	10621	0.8	1.5	2	
14	*Hub 1 DLC Silver and Gold*	8084	0.8	1.4	1.85	
15	Hub 1 DLC The Best of the Best	5969	0.85	1.3	1.6	
16	Hub DLC Into the Maw of Darkness	9212	0.75	1.5	2.1	G
17	*Hub DLC Glimmers of False Hope*	10058	0.75	2	2.5	G
18	Hub 7 Ring of the Golden Lune (Gen)	6956	0.8	1.8	1.75	
19	Hub 1 DLC Moonlit Tryst (Gen)	5969	0.85	1.5	1.6	
20	*Hub 1 DLC A Golden Moon Rises (Gen)*	10621	0.8	2.6	2	
21	*Hub 1 DLC Silver and Gold (Gen)*	8084	0.8	2	1.85	
22	Hub 1 DLC The Best of the Best (Gen)	5969	0.85	1.5	1.6	
