ID	name	health	defense	KO	exhaust	GRank
0	Village 9 Ore d'Oeuvres	4664	0.95	1.3	1.3	
1	Village 9 Wish upon a...Gravios?	4664	0.95	1.3	1.3	
2	Village 9 Trouble Comes in Threes	3212	0.95	1.3	1.3	
3	Village 10 Bring Me My Sword	4004	0.95	1.3	1.4	
4	Hub 6 A Cure for Cowardice	5720	0.85	1.3	1.6	
5	Hub G3 Hunt-a-thon: Gravios	7832	0.8	1.5	1.9	G
6	Hub G3 A Certain Gravitas	9812	0.8	1.5	1.9	G
7	Hub G4 A Very Long Engravement	7964	0.8	1.5	2	G
8	Hub G4 Fiery Four-way Fracas	7700	0.8	1.5	2	G
9	*Hub G4 Marshland Fandango*	16940	0.75	2	2.5	G
10	*Hub G4 Death at My Greaves*	11880	0.75	2	2.5	G
11	Hub G4 Arena Allegiances	8360	0.75	1.5	2.1	G
12	Hub G4 Gravios Backbreaker	15400	0.75	1.5	2	G
13	Drilltusk G3: Hunt	8228	0.8	1.5	2	G
14	Rustrazor G5: Hunt	8095	0.75	1.7	2.3	G
15	Hub DLC A Solid Argument	8624	0.75	1.5	2.1	G
16	Hub DLC Capcom: Prowler's Spirit	14080	0.8	1.5	2	G
17	Arena DLC XX Trials: Gravios	5060	0.85	1.3	1.5	G
