ID	name	health	defense	KO	exhaust	GRank
0	Village 2 Vaulting Outlaw	860	1	0.95	0.95	
1	Village 3 Chasing Tail	740	1	0.95	0.95	
3	Village 5 A Late Jurassic Excursion	860	1	1	1	
4	Village 7 Defiant Maccao	2000	0.95	1	1.1	
5	Village 8 My New Life as a Maccao	1580	0.95	1.1	1.2	
6	Village 9 Jurassic Frontier Fracas	1700	0.95	1.3	1.3	
7	Hub 1 Boot to the Head	1340	0.95	1.1	1.15	
8	Hub 3 An Early Jurassic Excursion	1220	0.95	1	1.1	
9	Hub 4 Bag the Bounding Bandit	2300	0.9	1.3	1.5	
10	Hub 4 So Notable: Great Maccao	1760	0.9	1.3	1.5	
11	Hub 4 A Powerful Team	1520	0.95	1.2	1.25	
12	Hub G1 Ruined Pinnacle, RUINED	3740	0.75	1.5	2	G
13	Hub G2 The Next Stage of E-Volvi-lution	3860	0.75	1.5	2.1	G
14	Hub G2 Minion's Devotion	3860	0.75	1.5	2.1	G
15	Hub G3 Down With This Sort of Thing	4040	0.75	1.6	2.2	G
16	Village 4 Great Maccao Headbreaker	2600	1	0.9	0.85	
17	Village 6 Surrounded by Blue and Green	1340	1	0.95	0.95	
18	Hub 2 A Resplendent Dance	1460	0.95	1.1	1.2	
19	Hub 7 Meownster Hunter	2000	0.85	1.3	1.6	
20	Dreadqueen III: Hunt	1820	0.85	1.3	1.5	
21	Grudge Match: Great Maccao	920	0.95	1	1.15	
22	Hub 1 DLC Fan Club: Great All Stars	2120	0.85	1.3	1.6	
23	Hub 1 DLC Anything For A Buck	2719	0.85	1.3	1.6	
24	Hub 1 DLC SF: Ultimate Entrace Exam	3380	0.85	1.3	1.6	
25	Arena DLC XX Trials: Hunt-a-thon IV	1400	0.85	1.15	1.5	G
26	SP Demo NX Single player: Great Maccao Hunt	2180	0.95	1	1.1	
27	SP Demo NX Multiplayer: Great Maccao Hunt	5500	0.8	1.4	1.85	
28	Hub 1 Boot to the Head (Gen)	1340	0.95	1	1.15	
29	Hub 4 Bag the Bounding Bandit (Gen)	2300	0.9	1.1	1.5	
30	Hub 4 So Notable: Great Maccao (Gen)	1760	0.9	1.1	1.5	
31	Hub 4 A Powerful Team (Gen)	1520	0.95	1.1	1.25	
33	Village 4 Great Maccao Headbreaker (Gen)	1460	1	0.9	0.85	
33	Hub 2 A Resplendent Dance (Gen)	1460	0.95	1	1.2	
34	Hub 7 Meownster Hunter (Gen)	2000	0.85	1.25	1.6	
35	Dreadqueen III: Hunt (Gen)	1820	0.85	1.2	1.5	
36	Hub 1 DLC Anything For A Buck (Gen)	2720	0.85	1.3	1.6	
37	Hub 1 DLC SF: Ultimate Entrace Exam (Gen)	3380	0.85	1.5	1.6	
