ID	name	health	defense	KO	exhaust	GRank
0	Village 3 Robbed Blind	1794	1	0.95	0.95	
1	Village 5 Hunt-a-thon: Gypceros	1326	1	1	1	
2	Village 6 Night Terrors	1677	1	1	1.05	
3	Village 7 Poisoned for Action	3666	0.95	1	1.1	
4	Village 7 Verdant Hills Horror	2730	0.95	1	1.1	
5	Village 10 Coalition of Chaos	3198	0.95	1.3	1.4	
6	Hub 1 Lost in the Jurassic Frontier	2379	0.95	1.1	1.15	
7	Hub 4 Lost in the Primal Forest	4251	0.9	1.3	1.5	
8	Hub 4 Birds of a Feather	3198	0.9	1.3	1.5	
9	*Hub 6 Miasma Attack*	6474	0.8	1.3	1.75	
10	*Hub 7 The Thieving Gypceros*	4719	0.85	1.3	1.6	
11	*Hub 7 Primal Forest Defense*	4719	0.85	1.3	1.6	
12	Hub G1 After That Bird!	7410	0.8	1.4	1.8	G
13	Hub G1 Lost, But Not for Long	7410	0.8	1.4	1.8	G
14	*Hub G2 The Verdant Hills Are Alive*	14625	0.75	1.6	2.2	G
15	Hub G3 Down With This Sort of Thing	6122	0.8	1.5	1.9	G
16	Grudge Match: Gypceros	975	0.95	1	1.15	
17	Hub DLC It'll Come Out in the Wash	6942	0.8	1.5	1.9	G
18	Hub 4 Lost in the Primal Forest (Gen)	4251	0.9	1.1	1.5	
19	Hub 4 Birds of a Feather (Gen)	3198	0.9	1.1	1.5	
20	*Hub 6 Miasma Attack (Gen)*	7410	0.8	1.8	1.75	
21	*Hub 7 The Thieving Gypceros (Gen)*	5070	0.85	1.6	1.65	
22	*Hub 7 Primal Forest Defense (Gen)*	5538	0.85	1.6	1.65	
