ID	name	health	defense	KO	exhaust	GRank
0	Village 7 Enough Monkeying Around	3572	0.95	1	1.1	
1	Village 8 My New Life as a Maccao	2774	0.95	1.1	1.2	
2	Village 9 Disaster on the Steppes	2774	0.95	1.3	1.3	
3	Hub 4 Swing into Action	4142	0.9	1.3	1.5	
4	Hub 5 So Notable: Kecha Wacha	3230	0.85	1.3	1.5	
5	Hub 6 At the Slayground	3572	0.85	1.3	1.6	
6	*Hub 6 Stop the Wacha!*	6308	0.8	1.3	1.75	
7	*Hub 7 The Fanged Beasts*	4598	0.85	1.3	1.6	
8	Hub G1 Face Two Face	6080	0.8	1.4	1.8	G
9	Hub G1 Face Two Face	5396	0.8	1.4	1.8	G
10	Hub G1 Enough Monkeying Around	7220	0.8	1.4	1.8	G
11	*Hub G2 Commission: Hyper Kecha Wacha*	12920	0.75	1.6	2.2	G
12	Hub G3 Down With This Sort of Thing	5965	0.8	1.5	1.9	G
13	*Hub G3 Let the Games Begin*	10260	0.75	2	2.5	G
14	Hub 5 Kecha Wacha Earbreaker	6536	0.8	1.3	1.7	
15	Arena Grudge Match: Kecha Wacha	2090	0.85	1.1	1.3	
16	Hub 1 DLC No Party Poopers!	4484	0.85	1.3	1.6	
17	*Hub DLC Famitsu: Kecha the Scoop!*	12920	0.75	1.6	2.2	
18	Hub 4 Swing into Action (Gen)	4142	0.9	1.1	1.5	
19	Hub 5 So Notable: Kecha Wacha (Gen)	3230	0.85	1.2	1.5	
20	Hub 6 At the Slayground (Gen)	3572	0.85	1.25	1.6	
21	*Hub 6 Stop the Wacha!*	7220	0.8	1.8	1.75	
22	*Hub 7 The Fanged Beasts*	5396	0.85	1.6	1.6	
23	Hub 5 Kecha Wacha Earbreaker	4940	0.8	1.7	1.7	
