ID	name	health	defense	KO	exhaust	GRank
0	Village 3 The Shadow in the Mountains	2070	1	0.95	0.95	
1	Village 4 Lurkin' in the Murk	1530	1	0.95	0.95	
2	Village 5 Hunt-a-thon: Khezu	1530	1	1	1	
3	Village 8 A Seaway Just for You	4365	0.95	1.1	1.2	
4	Village 8 Khezu Deserve It	4365	0.95	1.1	1.2	
5	Hub 2 The Shadow in the Mountains	3015	0.95	1.1	1.2	
6	Hub 5 The Walls Have Eyes	5040	0.85	1.3	1.5	
7	Hub 5 The Hunter Games	3825	0.85	1.3	1.5	
8	Hub 6 A Three Hour Tour	4230	0.85	1.3	1.6	
9	*Hub 6 The Khezu and the Shadow*	6795	0.8	1.3	1.75	
10	Hub 7 A Shocking Revelation!	4230	0.85	1.3	1.6	
11	*Hub 7 The Marshlands Nightmare*	5445	0.85	1.3	1.6	
12	Hub G2 Chilled to the Marrow	9495	0.8	1.4	1.85	G
13	Hub G2 The Shadow in the Cave	9495	0.8	1.4	1.85	G
14	*Hub G3 Frozen Seaway Horror Story*	16200	0.75	2	2.5	G
15	*Hub G4 Arctic Ridge Allegiances*	9225	0.75	2	2.5	G
16	Arena Grudge Match: Khezu	2070	0.95	1	1.15	
17	Hub 2 The Shadow in the Mountains (Gen)	3015	0.95	1	1.2	
18	Hub 5 The Walls Have Eyes (Gen)	5040	0.85	1.2	1.5	
19	Hub 5 The Hunter Games (Gen)	3825	0.85	1.2	1.5	
20	Hub 6 A Three Hour Tour (Gen)	4230	0.85	1.25	1.6	
21	*Hub 6 The Khezu and the Shadow (Gen)*	7605	0.8	1.8	1.75	
22	Hub 7 A Shocking Revelation! (Gen)	4230	0.85	1.25	1.6	
23	*Hub 7 The Marshlands Nightmare (Gen)*	6390	0.85	1.65	1.6	
