ID	name	health	defense	KO	exhaust	GRank
0	Village 6 It's Electric	1952	1	1	1.05	
1	Village 6 The White Brute	1952	1	1	1.05	
2	Village 9 Impossible Standards	3392	0.95	1.3	1.3	
3	Village 9 My Kirin for a Horse	3392	0.95	1.3	1.3	
4	Hub 3 It's Electric	2432	0.95	1.2	1.25	
5	Hub 3 The White Brute	2432	0.95	1.2	1.25	
6	Hub 6 It's Electric	4160	0.85	1.3	1.6	
7	Hub 6 The White Brute	4160	0.85	1.3	1.6	
8	Hub 6 A Scenic Locale	4160	0.85	1.3	1.6	
9	Hub G3 A Pinnacle Just for You	7136	0.8	1.5	1.9	G
10	Hub G3 Reality or Fantasy?	7136	0.8	1.5	1.9	G
11	Hub G3 The Phantom Beast!	7136	0.8	1.5	1.9	G
12	Hub 1 DLC A Land Draped in Fantasy	5504	0.8	1.5	1.9	
13	Hub DLC Dengeki: Top of Old Sparky	7136	0.8	1.5	1.9	G
14	Hub 1 DLC A Land Draped in Fantasy (Gen)	5504	0.8	2.1	1.9	
