ID	name	health	defense	KO	exhaust	GRank
0	Village 5 Lagiacrus Fuss	2340	1	1	1	
1	Village 5 The Fisherman's Fiend	2340	1	1	1	
2	Village 6 Drawing the Waterline	1935	1	1	1.05	
3	Village 6 Advanced: State in Flux	3150	0.85	1.3	1.6	
4	Village 9 Lagiacrus x Width x Height	4770	0.95	1.3	1.3	
5	Village 9 Sky Tribe: Rice to the Occasion	4770	0.95	1.3	1.3	
6	Village 10 Deserted Islands Horror	3690	0.95	1.3	1.4	
7	*Village 10 Advanced: Mark of a Hero*	6255	0.8	1.4	1.8	
8	Hub 3 Lagiacrus Lethargy	3420	0.95	1.2	1.25	
9	Hub 3 Lagiacrushed	3420	0.95	1.2	1.25	
10	Hub 6 The Fisherman's Fiend	5850	0.85	1.3	1.6	
11	Hub 6 Wild Gunman	4230	0.85	1.3	1.6	
12	Hub 7 A Shocking Revelation!	4230	0.85	1.3	1.6	
13	*Hub 7 Into the Maelstrom*	7470	0.8	1.4	1.85	
14	*Hub 7 Show Me Your Shaka-Strength*	5445	0.85	1.3	1.6	
15	*Hub 7 The Foes of the Deep*	5040	0.85	1.3	1.6	
16	Hub G3 Paralyzing Peril	13500	0.8	1.5	2	G
17	Hub G3 The Sun, Also Wyverns	13500	0.8	1.5	2	G
18	Hub G4 Quest of Friendship	8415	0.8	1.5	2	G
19	*Hub G4 Seeking the Sea King*	17325	0.75	2	2.5	G
20	Hub G4 Lagiacrus Headbreaker	15750	0.75	1.7	2.3	G
21	*Hub 1 DLC Dengeki: Turbulent Seas*	10575	0.8	1.5	2	
22	Hub 1 DLC The Greatest Hunter	5715	0.85	1.3	1.6	
23	*Hub 1 DLC Retreat Run-in*	8010	0.8	1.4	1.8	
24	Hub 1 DLC Overcome with Awe	5310	0.85	1.3	1.6	
25	*Hub DLC Fan Club: Climbing The Ranks*	20250	0.75	2	2.5	G
26	*Hub DLC Monster Hunter Channel I*	8955	0.75	1.6	2.2	G
27	Arena DLC Event: Slay a Lagiacrus	3825	0.85	1.15	1.5	
28	Village 5 Lagiacrus Fuss (Gen)	2600	1	1	1	
29	Village 5 The Fisherman's Fiend (Gen)	2600	1	1	1	
30	Village 6 Drawing the Waterline (Gen)	2150	1	1	1.05	
31	Village 6 Advanced: State in Flux (Gen)	3500	0.85	1.3	1.6	
32	Hub 3 Lagiacrus Lethargy (Gen)	3800	0.95	1.2	1.25	
33	Hub 3 Lagiacrushed (Gen)	3800	0.95	1.2	1.25	
34	Hub 6 The Fisherman's Fiend (Gen)	6500	0.85	1.3	1.6	
35	Hub 6 Wild Gunman (Gen)	4700	0.85	1.25	1.6	
36	Hub 7 A Shocking Revelation! (Gen)	4700	0.85	1.25	1.6	
37	*Hub 7 Into the Maelstrom (Gen)*	9500	0.8	2	1.85	
38	*Hub 7 Show Me Your Shaka-Strength (Gen)*	7100	0.85	1.6	1.65	
39	*Hub 7 The Foes of the Deep (Gen)*	6200	0.85	1.3	1.6	
40	*Hub 1 DLC Dengeki: Turbulent Seas (Gen)*	11750	0.8	2.2	2	
41	Hub 1 DLC The Greatest Hunter (Gen)	6350	0.85	1.5	1.6	
42	*Hub 1 DLC Retreat Run-in (Gen)*	8900	0.8	1.9	1.8	
43	Hub 1 DLC Overcome with Awe (Gen)	5900	0.85	1.3	1.6	
44	Arena DLC Event: Slay a Lagiacrus (Gen)	3825	0.85	1.15	1.5	
