ID	name	health	defense	KO	exhaust	GRank
0	Village 3 Snow with Occasional Lagombi	1872	1	0.95	0.95	
1	Village 4 Lagombi Lair	1440	1	0.95	0.95	
2	Village 6 Bristly Fanged Beasts	1764	1	1	1.05	
3	Village 7 The Killer Rabbit of Arctic Ridge	3600	0.95	1	1.1	
4	Village 9 Snowball Skirmish	3060	0.95	1.3	1.3	
5	Village 10 Advanced: Quarrel Quelling	4680	0.8	1.3	1.75	
6	Hub 1 Snow with Occasional Lagombi	2412	0.95	1.1	1.15	
7	Hub 4 Snow with Occasional Lagombi	4140	0.9	1.3	1.5	
8	Hub 5 Must Love Lagombi	3276	0.85	1.3	1.5	
9	Hub 5 Hunt, Sweat, and Tears	2952	0.9	1.3	1.5	
10	Hub 7 A Man's Arena is His Castle	3600	0.85	1.3	1.6	
11	Hub G1 The Killer Rabbit of Arctic Ridge	7920	0.8	1.4	1.8	G
12	Hub G2 Fishing's Lure	7272	0.8	1.4	1.85	G
13	Village 10 Snow Festival	5976	0.95	1.3	1.4	
14	Hub 6 The Snow Must Go On	4248	0.85	1.3	1.6	
15	Hub G4 Meownster Hunter Ultimate	5976	0.8	1.3	1.65	G
16	Hub 1 DLC Case Closed: Monster Files	2304	0.85	1.3	1.5	
17	Hub 1 DLC Fan Club: Arena Action	2196	0.85	1.3	1.6	
18	Hub DLC WORST: Skull Motif	4464	0.8	1.4	1.8	G
19	Hub DLC WORST: Skull Motif	3600	0.8	1.4	1.8	G
20	Arena DLC Event: Slay a Lagombi	3924	0.85	1.15	1.5	
21	Hub 1 Snow with Occasional Lagombi (Gen)	2412	0.95	1	1.15	
22	Hub 4 Snow with Occasional Lagombi (Gen)	4140	0.9	1.1	1.5	
23	Hub 5 Must Love Lagombi (Gen)	3276	0.85	1.2	1.5	
24	Hub 5 Hunt, Sweat, and Tears (Gen)	2952	0.9	1.1	1.5	
