ID	name	health	defense	KO	exhaust	GRank
0	Village 5 The Entrancing Water Dancer	2392	1	1	1	
1	Village 6 The Fated Four	1978	1	1	1.05	
2	Village 6 Advanced: The Field's a Stage	3496	0.85	1.3	1.6	
3	Village 9 Soap Opera	4876	0.95	1.3	1.3	
4	Village 9 Man, Mizutsune Again?	4876	0.95	1.3	1.3	
5	*Village 10 Advanced: Generations Unite!*	5704	0.8	1.4	1.8	
6	Hub 3 Moonlit Bubble Bath	3496	0.95	1.2	1.25	
7	Hub 6 A Bewitching Dance	5980	0.85	1.3	1.6	
8	Hub 6 Surrounded by Bubbles	5980	0.85	1.3	1.6	
9	Hub 6 Bugging Out	4324	0.85	1.3	1.6	
10	Hub 7 A Song of White and Lapis	4600	0.85	1.3	1.6	
11	Hub 7 Bewitching Heat	4600	0.85	1.3	1.6	
12	Hub 7 The Hunter Games	4324	0.85	1.3	1.6	
13	*Hub 7 The Lithe and Unbreaking*	7636	0.8	1.4	1.85	
14	*Hub 7 The Foes of the Deep*	5152	0.85	1.3	1.6	
15	Hub G3 Water Kerfuffle	10258	0.8	1.5	1.9	G
16	Hub G3 Hunter Dojo: Bubble-jitsu	10258	0.8	1.5	1.9	G
17	*Hub G4 It Takes Mizutsune to Tango*	17710	0.75	2	2.5	G
18	*Hub G4 Jungle Funk*	11224	0.75	2	2.5	G
19	*Hub G4 Path of the Hunter*	8740	0.75	2	2.5	G
20	Silverwind VIII: Hunt	5428	0.85	1.3	1.6	
21	Soulseer G5: Hunt	8050	0.75	1.7	2.3	G
22	*Hub 1 DLC Ushio & Tora: White Mizutsune*	10810	0.8	1.5	2	
23	Hub 1 DLC Famitsu: Mizutsune Feature	5428	0.85	1.3	1.6	
24	*Hub 1 DLC Capcom: White & Black*	8188	0.8	1.4	1.8	
25	*Hub 1 DLC The Five Kings of Destruction*	8188	0.8	1.4	1.8	
26	*Hub DLC Paws Off My Fish!*	19780	0.75	2	2.5	G
27	Arena DLC Event: Slay a Mizutsune	3910	0.85	1.15	1.5	
28	*Arena DLC Event: Hunt-a-thon 3*	1840	0.85	1.15	1.5	
29	Arena DLC Event: Hunt-a-thon 4	1840	0.85	1.15	1.5	
30	Hub 3 Moonlit Bubble Bath (Gen)	3496	0.95	1	1.25	
31	Hub 6 Bugging Out (Gen)	4324	0.85	1.25	1.6	
32	*Hub 7 The Lithe and Unbreaking (Gen)*	8740	0.8	2	1.85	
33	*Hub 7 The Foes of the Deep (Gen)*	5704	0.85	1.3	1.6	
34	Silverwind VIII: Hunt (Gen)	5428	0.85	1.3	1.6	
35	*Hub 1 DLC Ushio & Tora: White Mizutsune (Gen)*	10810	0.8	2.2	2	
36	Hub 1 DLC Dance of Dreams at USJ (Gen)	5428	0.85	1.3	1.6	
37	*Hub 1 DLC The Five Kings of Destruction (Gen)*	8188	0.8	1.9	1.8	
