ID	name	health	defense	KO	exhaust	GRank
0	Village 4 Wyvern of the Wind	2058	1	0.95	0.95	
1	Village 4 Hungry Eyes	2058	1	0.95	0.95	
2	Village 6 Advanced: Might is Right	2940	0.85	1.3	1.6	
3	Village 6 Advanced: Out of the Fry Pan	3192	0.85	1.3	1.6	
4	Village 8 Airship Upgrade: Nargacuga	4074	0.95	1.1	1.2	
5	Village 8 The Way of the Nargacuga	4074	0.95	1.1	1.2	
6	Village 9 Jurassic Frontier Fracas	3066	0.95	1.3	1.3	
7	Village 10 Advanced: Monster Hunter!	5082	0.8	1.3	1.75	
8	Hub 2 Operation: Secure Specimen	2814	0.95	1.1	1.2	
9	Hub 2 Wyvern of the Wind	2814	0.95	1.1	1.2	
10	Hub 5 Nargacuga Throwdown	4704	0.85	1.3	1.5	
11	Hub 6 Wild Gunman	3948	0.85	1.3	1.6	
12	*Hub 6 Born of Darkness*	6342	0.8	1.3	1.75	
13	Hub 7 The Gathering Storm	4200	0.85	1.3	1.6	
14	Hub G2 Face-off in the Jungle	8862	0.8	1.4	1.85	G
15	Hub G2 Jumping at Shadows	8862	0.8	1.4	1.85	G
16	*Hub G3 Nargacuga in the Jurassic Frontier*	15120	0.75	2	2.5	G
17	Hub G4 Quest of Friendship	7350	0.8	1.5	2	G
18	*Hub G4 Jungle Funk*	8610	0.75	2	2.5	G
19	Silverwind IV: Hunt	4200	0.85	1.3	1.6	
20	Deadeye IX: Hunt	5711	0.85	1.4	1.65	
21	*Hub 1 DLC Capcom: White & Black*	7476	0.8	1.4	1.8	
22	Hub 1 DLC The Best of the Best	5334	0.85	1.3	1.6	
23	*Hub DLC Monster Hunter Channel I*	7980	0.75	1.6	2.2	G
24	Arena DLC Event: Hunt-a-thon 1	1302	0.85	1.15	1.5	
25	Arena DLC Event: Slay a Nargacuga	3570	0.85	1.15	1.5	
26	Arena DLC XX Trials: Nargacuga	3570	0.85	1.15	1.5	G
