ID	name	health	defense	KO	exhaust	GRank
0	Village 8 Primal Forest Arachnids	3549	0.95	1.1	1.2	
1	Village 9 Distress Signal	3081	0.95	1.3	1.3	
2	Village 9 Distress Signal	3081	0.95	1.3	1.3	
3	Village 10 The Marshlands Morass	3198	0.95	1.3	1.4	
4	Hub 5 Web Sighting	4368	0.85	1.3	1.5	
5	Hub G2 Feeding Time	8229	0.8	1.4	1.85	G
6	Hub G3 Primal Forest Fears	7175	0.8	1.5	1.9	G
7	*Hub G3 Temnoceranophobia*	14040	0.75	2	2.5	G
8	*Hub G3 Let the Games Begin*	10530	0.75	2	2.5	G
9	*Hub G4 Death at My Greaves*	9750	0.75	2	2.5	G
10	Hub G3 Nerscylla Hidebreaker	12480	0.75	1.5	2	G
11	Hub DLC Nerscylla Nightmare	8229	0.75	2	2.5	G
12	Hub DLC Nerscylla Nightmare	9282	0.75	2	2.5	G
13	Hub DLC The Legend of Zelda: Wisdom	11700	0.75	1.5	2	G
