ID	name	health	defense	KO	exhaust	GRank
0	Redhelm I: Hunt	3825	0.9	1.3	1.5	
1	Redhelm II: Capture	5040	0.9	1.3	1.5	
2	Redhelm III: Hunt	4365	0.85	1.3	1.5	
3	Redhelm IV: Hunt	5715	0.85	1.3	1.6	
4	Redhelm V: Hunt	4635	0.85	1.3	1.6	
5	Redhelm VI: Hunt	4905	0.85	1.3	1.6	
6	Redhelm VII: Capture	6119	0.85	1.3	1.6	
7	Redhelm VIII: Hunt	6525	0.8	1.3	1.75	
8	Redhelm IX: Hunt	5580	0.85	1.3	1.6	
9	Redhelm X: Hunt	5985	0.85	1.4	1.65	
10	Redhelm X: Hunt	5580	0.85	1.3	1.6	
11	Redhelm G1: Capture	9225	0.8	1.5	1.9	G
12	Redhelm G2: Hunt	7200	0.8	1.5	1.9	G
13	Redhelm G2: Hunt	8280	0.8	1.5	2	G
14	Redhelm G3: Hunt	8145	0.8	1.5	2	G
15	Redhelm G4: Hunt	10980	0.75	1.5	2.1	G
16	Redhelm G5: Hunt	7200	0.75	1.6	2.2	G
17	Redhelm G5: Hunt	9900	0.75	1.7	2.3	G
18	Redhelm EX: Hunt	20250	0.7	2.6	3.25	G
19	Silverwind G5: Hunt	6119	0.75	1.7	2.3	G
20	Thunderlord G4: Hunt	7470	0.75	1.6	2.2	G
21	Arena DLC XX Trials: Redhelm	7200	0.85	1.15	1.5	G
