ID	name	health	defense	KO	exhaust	GRank
0	Village 3 Royal Spit Take	1840	1	0.95	0.95	
1	Village 3 Current Events	1840	1	0.95	0.95	
2	Village 4 Royal Pains	1360	1	0.95	0.95	
3	Village 6 Drawing the Waterline	1720	1	1	1.05	
4	Village 7 Taking Royal Liberties	3760	0.95	1	1.1	
5	Village 10 Misty Peaks Missive	3280	0.95	1.3	1.4	
6	Hub 1 Royal Spit Take	2440	0.95	1.1	1.15	
7	Hub 2 Ahoy! Royal Ludroth!	1960	0.95	1	1.05	
8	Hub 4 Royal Spit Take	4360	0.9	1.3	1.5	
9	*Hub 6 Where the Wild Manes Are*	6640	0.8	1.3	1.75	
10	Hub 7 The Hunter Games	3760	0.85	1.3	1.6	
11	*Hub 7 Searching for Secret Baths*	4840	0.85	1.3	1.6	
12	Hub G1 Sweetheart's Pick: Lofty Ludroth	7600	0.8	1.4	1.8	G
13	Hub G1 Water Fight	6279	0.8	1.4	1.8	G
14	Hub G1 Water Fight	5800	0.8	1.4	1.8	G
15	*Hub G2 The Hype is Royal*	15000	0.75	1.6	2.2	G
16	Hub G4 Quest of Friendship	7000	0.8	1.5	2	G
17	Hub G2 Royal Ludroth Manebreaker	12000	0.7	1.5	2	G
18	*Hub 1 DLC Mega Man: Yellow Devil*	8800	0.8	1.5	1.9	
19	*Hub 1 DLC Retreat Run-in*	7120	0.8	1.4	1.8	
20	Arena DLC Event: Slay a Royal Ludroth	4000	0.85	1.15	1.5	
21	Village 3 Royal Spit Take (Gen)	1886	1	0.95	0.95	
22	Village 3 Current Events (Gen)	1886	1	0.95	0.95	
23	Village 4 Royal Pains (Gen)	1394	1	0.95	0.95	
24	Village 6 Drawing the Waterline (Gen)	1763	1	1	1.05	
25	Hub 1 Royal Spit Take (Gen)	2501	0.95	1.1	1.15	
26	Hub 2 Ahoy! Royal Ludroth! (Gen)	2009	0.95	1	1.05	
27	Hub 4 Royal Spit Take (Gen)	4496	0.9	1.1	1.5	
28	*Hub 6 Where the Wild Manes Are (Gen)*	7790	0.8	1.8	1.75	
29	Hub 7 The Hunter Games (Gen)	3854	0.85	1.25	1.6	
30	*Hub 7 Searching for Secret Baths (Gen)*	5822	0.85	1.6	1.65	
31	*Hub 1 DLC Mega Man: Yellow Devil (Gen)*	9020	0.8	2.1	1.9	
32	*Hub 1 DLC Retreat Run-in (Gen)*	7298	0.8	1.9	1.8	
33	Arena DLC Event: Slay a Royal Ludroth (Gen)	4100	0.85	1.15	1.5	
