ID	name	health	defense	KO	exhaust	GRank
0	Hub 7 Triumphant Rage	8159	0.85	1.3	1.6	
1	Hub G4 Deranged Desert Deviljho	14640	0.75	1.5	2.1	G
2	Redhelm IX: Hunt	7080	0.85	1.3	1.5	
3	Snowbaron G5: Hunt	7800	0.75	1.6	2.2	G
4	Hub 1 DLC Strider: Frozen Mission	9419	0.8	1.4	1.8	
5	Hub 1 DLC Unbridled Rage	7620	0.85	1.3	1.6	
6	Hub 1 DLC Unbridled Rage	7620	0.85	1.3	1.6	
7	Hub 1 DLC Insanity and Destruction	7620	0.85	1.3	1.6	
8	Hub 1 DLC The Greatest Hunter	7620	0.85	1.3	1.6	
9	Hub DLC Meat is Murder	15900	0.75	2	2.5	
