ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Advanced: Seltas Queen	1940	0.85	1.3	1.6	
1	Village 7 Bug Appétit Encore	2000	0.95	1	1.1	
2	Village 9 The Fly in the Ointment	2240	0.95	1.3	1.3	
3	Village 9 Pheromone Moans	2240	0.95	1.3	1.3	
4	Village 9 Disaster on the Steppes	1700	0.95	1.3	1.3	
5	Hub 4 Ancestral Steppe Fungus Run	1880	0.9	1.3	1.5	
6	Hub 4 Bug Appétit	2300	0.9	1.3	1.5	
7	Hub 4 A Powerful Team	1520	0.95	1.2	1.25	
8	Hub 6 Bug Buffet	2660	0.85	1.3	1.6	
9	Hub 6 Bug Bite	2660	0.85	1.3	1.6	
10	Hub 6 Bugging Out	2000	0.85	1.3	1.6	
11	Hub 7 The Hunter Games	2000	0.85	1.3	1.6	
12	Hub 7 The Unassailable Seltas Queen	2360	0.85	1.3	1.6	
13	Hub 7 Primal Forest Defense	2360	0.85	1.3	1.6	
14	Hub G1 A Brush with Bugs	3740	0.8	1.4	1.8	G
15	Hub G1 A Brush with Bugs	3440	0.8	1.4	1.8	G
16	Hub G3 Strutting the Royal Runway 	5100	0.8	1.5	1.9	G
17	Hub G3 The Royal Guard	5100	0.8	1.5	1.9	G
18	Hub G4 Neopteronophobia	5800	0.75	1.5	2.1	G
19	Hub 4 We Cat All Be Heroes	2120	0.9	1.3	1.5	
20	Hub G4 Seltas Spat	4520	0.8	1.3	1.75	G
21	Hub 1 DLC DMC: The Seltas Queen's Cry	3260	0.8	1.4	1.8	
22	Village 6 Advanced: Seltas Queen (Gen)	1940	0.85	1.25	1.6	
23	Hub 4 Ancestral Steppe Fungus Run (Gen)	1880	0.9	1.1	1.5	
24	Hub 4 Bug Appétit (Gen)	2300	0.9	1.1	1.5	
25	Hub 4 A Powerful Team (Gen)	1520	0.95	1	1.25	
26	Hub 6 Bugging Out (Gen)	2000	0.85	1.25	1.6	
27	Hub 4 We Cat All Be Heroes (Gen)	2120	0.9	1.1	1.5	
28	Hub 1 DLC DMC: The Seltas Queen's Cry (Gen)	3260	0.8	1.9	1.8	
