ID	name	health	defense	KO	exhaust	GRank
0	Village 6 A Thousand Scales of Dread	2562	1	1	1.05	
1	Village 6 Advanced: State in Flux	2940	0.85	1.3	1.6	
2	Village 10 Thousand-Blade Brouhaha	5082	0.95	1.3	1.4	
3	Village 10 A Cure for Idleness	5082	0.95	1.3	1.4	
4	*Village 10 Advanced: The Master's Test*	5838	0.8	1.4	1.8	
5	Hub 3 A Thousand Scales of Dread	3192	0.95	1.2	1.25	
6	Hub 3 Wyvern Sand Runners	2310	0.95	1	1.1	
7	Hub 7 So Notable: Seregios	5838	0.85	1.3	1.6	
8	Hub 7 Seer of Swords	5838	0.85	1.3	1.6	
9	Hub 7 The Gathering Storm	3948	0.85	1.3	1.6	
10	*Hub 7 A Thousand Blades of Wrath*	6972	0.8	1.4	1.85	
11	*Hub 7 The End of the Trials*	5082	0.85	1.3	1.6	
12	*Hub 7 The Winged Wyverns*	5082	0.85	1.3	1.6	
13	Hub G4 Battle of 1001 Blades	11760	0.8	1.5	2	G
14	Hub G4 Seregios Scuffle	11760	0.8	1.5	2	G
15	*Hub G4 Seregios Exposé*	16170	0.75	2	2.5	G
16	Crystalbeard IX: Hunt	5711	0.85	1.4	1.65	
17	*Bloodbath G4: Hunt*	9996	0.75	1.6	2.2	G
18	Arena Grudge Match: Seregios	5460	0.85	1.15	1.5	
19	*Hub DLC Case Closed: Desert Arrest*	13650	0.75	2	2.5	G
20	*Hub DLC Monster Hunter Channel II*	7980	0.75	1.6	2.2	G
21	Hub 3 A Thousand Scales of Dread (Gen)	3192	0.95	1.2	1.25	
22	Hub 7 So Notable: Seregios (Gen)	5838	0.85	1.5	1.6	
23	Hub 7 Seer of Swords (Gen)	5838	0.85	1.5	1.6	
24	Hub 7 The Gathering Storm (Gen)	3948	0.85	1.25	1.6	
25	*Hub 7 A Thousand Blades of Wrath (Gen)*	7980	0.8	2	1.85	
26	*Hub 7 The End of the Trials (Gen)*	5964	0.85	1.6	1.65
27	*Hub 7 The Winged Wyverns (Gen)*	5964	0.85	1.6	1.65	
28	Crystalbeard IX: Hunt (Gen)	5712	0.85	1.6	1.65	
