ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Stop the Wheel	3355	1	1	1.05	
1	Village 6 Advanced: Nothing is Sacred	5335	0.85	1.3	1.6	
2	Village 10 Wheel of Time	6655	0.95	1.3	1.4	
3	Village 10 Advanced: The Caravaneer's Challenge	7975	0.8	1.3	1.75	
4	Hub 3 Stop the Wheel	4180	0.95	1.2	1.25	
5	Hub 7 Stop the Wheel	7645	0.85	1.3	1.6	
6	Hub G4 Ends of the Earth	12760	0.8	1.5	2	G
7	Hub 1 DLC Yu-Gi-Oh: A Beautiful Wyvern	9460	0.8	1.5	1.9	
8	Hub DLC A Terrible Light	21175	0.75	2	2.5	G
9	Hub 3 Stop the Wheel (Gen)	4180	0.95	1	1.25	
10	Hub 7 Stop the Wheel (Gen)	7645	0.85	1.5	1.6	
11	Hub 1 DLC Yu-Gi-Oh: A Beautiful Wyvern (Gen)	9460	0.8	2.1	1.9	
