ID	name	health	defense	KO	exhaust	GRank
0	Village 4 Marshlands Mission	1960	1	0.95	0.95	
1	Village 4 Crustacean Infatuation	1960	1	0.95	0.95	
2	Village 6 Under the Gaze of Heaven	1720	1	1	1.05	
3	Village 8 Naked Aggression	3880	0.95	1.1	1.2	
4	Village 8 Marshlands Horror Story	2920	0.95	1.1	1.2	
5	Hub 2 Pincer through the Sky	2680	0.95	1.1	1.2	
6	Hub 3 The Shogun's Encampment	2200	0.95	1	1.1	
7	Hub 5 Shogun in the Flames	4480	0.85	1.3	1.5	
8	Hub 5 The Hunter Games	3400	0.85	1.3	1.5	
9	Hub 6 Firefight to the Finish!	3760	0.85	1.3	1.6	
10	*Hub 6 Bring On the Shogun*	6040	0.8	1.3	1.75	
11	*Hub 6 Minion Audition Imposition*	4480	0.85	1.3	1.6	
12	*Hub 7 The Marshlands Nightmare*	4840	0.85	1.3	1.6	
13	Hub G2 Naked Aggression	8440	0.8	1.4	1.85	G
14	Hub G2 Feeling Generally Crabby	8440	0.8	1.4	1.85	G
15	*Hub G3 No Place to Run*	14400	0.75	2	2.5	G
16	*Hub G3 Material Old Girl*	10800	0.75	2	2.5	G
17	*Crystalbeard G3: Hunt*	8680	0.75	1.5	2	G
18	*Hub 1 DLC It Would Be a Shame If...*	8800	0.8	1.5	1.9	
19	Hub 2 Pincer through the Sky (Gen)	2680	0.95	1	1.2	
20	Hub 5 Shogun in the Flames (Gen)	4480	0.85	1.2	1.5	
21	Hub 5 The Hunter Games (Gen)	3400	0.85	1.2	1.5	
22	Hub 6 Firefight to the Finish! (Gen)	3760	0.85	1.25	1.6	
23	*Hub 6 Bring On the Shogun (Gen)*	6760	0.8	1.8	1.75	
24	*Hub 6 Minion Audition Imposition (Gen)*	5080	0.85	1.5	1.6	
25	*Hub 7 The Marshlands Nightmare (Gen)*	5680	0.85	1.6	1.65	
26	*Hub 1 DLC It Would Be a Shame If... (Gen)*	8800	0.8	2.1	1.9	
