ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Advanced: Wrath of Rath	3724	0.85	1.3	1.6	
1	Village 10 Advanced: Wrong One Silver	7986	0.8	1.4	1.85	
2	Village 10 Advanced: Trial at the Pinnacle	6370	0.8	1.3	1.75	
3	Hub 7 Ring of the Silver Sol	7252	0.8	1.3	1.75	
4	Hub 7 Usurpers of the Throne	5782	0.85	1.3	1.6	
5	*Hub 7 Following the Fallen*	10192	0.8	1.5	2	
6	*Hub 7 Shining Examples*	7252	0.8	1.4	1.8	
7	Hub G4 Silver-Tongued Storyteller	11073	0.75	1.5	2.1	G
8	Hub G4 The Sun and the Moon	9310	0.75	1.5	2.1	G
9	*Hub G4 By the Light of the Silvery Rath*	12250	0.75	2	2.5	G
10	*Hub G4 A Tragedy in Silver and Gold*	9310	0.75	2	2.5	G
11	*Hub 1 DLC Fire Emblem: Warding Despair*	9310	0.8	1.5	2	
12	Hub 1 DLC Moonlit Tryst	6223	0.85	1.3	1.6	
13	*Hub 1 DLC Silver and Gold*	8428	0.8	1.4	1.85	
14	Hub 1 DLC The Best of the Best	6223	0.85	1.3	1.6	
15	*Hub DLC Glimmers of False Hope*	9310	0.75	2	2.5	G
16	Hub 7 Ring of the Silver Sol (Gen)	7252	0.8	1.8	1.75	
17	*Hub 1 DLC Fire Emblem: Warding Despair (Gen)*	11073	0.8	2.6	2	
18	*Hub 1 DLC Silver and Gold (Gen)*	8428	0.8	2	1.85	
19	Hub 1 DLC The Best of the Best (Gen)	6223	0.85	1.5	1.6	
