ID	name	health	defense	KO	exhaust	GRank
0	Silverwind I: Hunt	6096	0.85	1.3	1.6	
1	Silverwind II: Capture	6096	0.85	1.3	1.6	
2	Silverwind III: Hunt	5232	0.85	1.3	1.6	
3	Silverwind IV: Hunt	5232	0.85	1.3	1.6	
4	Silverwind V: Hunt	6960	0.8	1.3	1.75	
5	Silverwind VI: Hunt	5664	0.85	1.3	1.6	
6	Silverwind VII: Capture	7392	0.8	1.4	1.8	
7	Silverwind VIII: Hunt	5952	0.85	1.3	1.6	
8	Silverwind IX: Hunt	6384	0.85	1.4	1.65	
9	Silverwind X: Hunt	5952	0.85	1.3	1.6	
10	Silverwind X: Hunt	6384	0.85	1.4	1.65	
11	Silverwind G1: Capture	10704	0.8	1.5	2	G
12	Silverwind G2: Hunt	7968	0.8	1.5	2	G
13	Silverwind G2: Hunt	9264	0.8	1.5	2	G
14	Silverwind G3: Hunt	9120	0.75	1.5	2.1	G
15	Silverwind G4: Hunt	12240	0.75	1.6	2.2	G
16	Silverwind G5: Hunt	7535	0.75	1.7	2.3	G
17	Silverwind G5: Hunt	13680	0.75	1.8	2.4	G
18	Silverwind EX: Hunt	15600	0.7	2.6	3.25	G
19	Deadeye G5: Hunt	8112	0.75	1.7	2.3	G
20	Soulseer G4: Hunt	9552	0.75	1.6	2.2	G
21	Arena DLC XX Trials: Silverwind	6240	0.85	1.15	1.5	G
