ID	name	health	defense	KO	exhaust	GRank
0	Snowbaron I: Hunt	3825	0.9	1.3	1.5	
1	Snowbaron II: Capture	5040	0.9	1.3	1.5	
2	Snowbaron III: Hunt	4365	0.85	1.3	1.5	
3	Snowbaron IV: Hunt	5715	0.85	1.3	1.6	
4	Snowbaron V: Hunt	4635	0.85	1.3	1.6	
5	Snowbaron VI: Hunt	4905	0.85	1.3	1.6	
6	Snowbaron VII: Capture	6119	0.85	1.3	1.6	
7	Snowbaron VIII: Hunt	5310	0.85	1.3	1.6	
8	Snowbaron IX: Hunt	5580	0.85	1.3	1.6	
9	Snowbaron X: Hunt	5985	0.85	1.4	1.65	
10	Snowbaron G1: Capture	9495	0.8	1.5	1.9	G
11	Snowbaron G2: Hunt	7200	0.75	2	2.5	G
12	Snowbaron G2: Hunt	8280	0.8	1.5	2	G
13	Snowbaron G3: Hunt	8145	0.8	1.5	2	G
14	Snowbaron G4: Hunt	10980	0.75	1.5	2.1	G
15	Snowbaron G5: Hunt	8415	0.75	1.6	2.2	G
16	Snowbaron G5: Hunt	11250	0.75	1.7	2.3	G
17	Snowbaron EX: Hunt	24750	0.7	3	3.75	G
18	Drilltusk G5: Hunt	8415	0.75	1.6	2.2	G
19	Elderfrost G5: Hunt	8145	0.75	1.7	2.3	G
20	Arena DLC XX Trials: Snowbaron	7200	0.85	1.15	1.5	G
21	Snowbaron I: Hunt (Gen)	3825	0.9	1.1	1.5	
22	Snowbaron II: Capture (Gen)	5040	0.9	1.1	1.5	
23	Snowbaron III: Hunt (Gen)	4365	0.85	1.2	1.5	
24	Snowbaron V: Hunt (Gen)	4635	0.85	1.25	1.6	
25	Snowbaron IX: Hunt (Gen)	5580	0.85	1.5	1.6	
26	Snowbaron X: Hunt (Gen)	5985	0.85	1.6	1.65	
