ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Advanced: Teostra's Return	5141	0.85	1.3	1.6	
1	Village 10 Advanced: Empire of the Sun	8639	0.8	1.4	1.85	
2	Hub 3 Emperor of Flame	4028	0.95	1.2	1.25	
3	Hub 7 Emperor of Flame	8321	0.8	1.4	1.8	
4	Hub 7 The Fires of Devastation	8321	0.8	1.4	1.8	
5	Hub G4 Sandblasting	13514	0.75	1.6	2.2	G
6	Hub G4 Explosion Marks the Spot	13514	0.75	1.6	2.2	G
7	Hub 1 DLC The Exploding Flame King	9116	0.8	1.5	1.9	
8	Hub DLC Lord of the Volcanic Hollow	16695	0.75	2	2.5	G
9	Hub 3 Emperor of Flame (Gen)	4028	0.95	1	1.25	
10	Hub 7 Emperor of Flame (Gen)	8321	0.8	1.9	1.8	
11	Hub 7 The Fires of Devastation (Gen)	8321	0.8	1.9	1.8	
12	Hub 1 DLC The Exploding Flame King (Gen)	9116	0.8	2.1	1.9	
