ID	name	health	defense	KO	exhaust	GRank
0	Village 3 Tusked Tantrum	1840	1	0.95	0.95	
1	Village 3 Jurassic Treasure: The Frog	1840	1	0.95	0.95	
2	Village 4 Deviled Legs	1360	1	0.95	0.95	
3	Village 5 Scientific Method	1480	1	1	1	
4	Village 7 Spit It Out	3760	0.95	1	1.1	
5	Village 8 Deserted Island Missive	2920	0.95	1.1	1.2	
6	Hub 1 Tackling the Tetsucabra	2440	0.95	1.1	1.15	
7	Hub 2 Tetsucabra Bounty	2680	0.95	1.1	1.2	
8	Hub 4 Tackling the Tetsucabra	4360	0.9	1.3	1.5	
9	Hub 5 Tetsucabra Bounty	4480	0.85	1.3	1.5	
10	Hub 6 A Hollow Defense	3760	0.85	1.3	1.6	
11	*Hub 6 The Frog of War*	6640	0.8	1.3	1.75	
12	*Hub 6 Triple Toady Terror*	4840	0.85	1.3	1.6	
13	Hub G1 Pleasantly Sozzled	7600	0.8	1.4	1.8	G
14	Hub G1 Antony and Tetsucabra	7600	0.8	1.4	1.8	G
15	*Hub G2 Frog's Face, Demon's Heart*	13600	0.75	1.6	2.2	G
16	Grudge Match: Tetsucabra	4000	0.85	1.15	1.5	
17	Hub DLC Frozen Free-For-All	8200	0.8	1.5	1.9	G
18	Hub 1 Tackling the Tetsucabra (Gen)	2440	0.95	1	1.15	
19	Hub 2 Tetsucabra Bounty (Gen)	2680	0.95	1	1.2	
20	Hub 4 Tackling the Tetsucabra (Gen)	4360	0.9	1.1	1.5	
21	Hub 5 Tetsucabra Bounty (Gen)	4480	0.85	1.2	1.5	
22	Hub 6 A Hollow Defense (Gen)	3760	0.85	1.25	1.6	
23	*Hub 6 The Frog of War (Gen)*	7600	0.8	1.8	1.75	
24	*Hub 6 Triple Toady Terror (Gen)*	5200	0.85	1.5	1.6	
