ID	name	health	defense	KO	exhaust	GRank
0	Village 10 Beware the Comet of Disaster	5808	0.95	1.3	1.4	
1	Village 10 Beware the Comet of Disaster	5808	0.95	1.3	1.4	
2	Village 10 The Baleful Comet	5808	0.95	1.3	1.4	
3	Village 10 Turn That Frown Upside Down	5808	0.95	1.3	1.4	
4	Village 10 An Almost-Certainly-Fine Comet	5808	0.95	1.3	1.4	
5	Village 10 Advanced: Generations Unite!	7535	0.8	1.3	1.75	
6	Hub G4 Sky Render	11136	0.8	1.5	2	G
7	Hub G4 Hunter Dojo: Valstrax-ryu	11136	0.8	1.5	2	G
8	Hub G4 Supersonic	11136	0.8	1.5	2	G
9	Hub G4 Scales of Justice	11136	0.8	1.5	2	G
10	Hub DLC Forget Valstrax, Big Sis is Scarier!	20400	0.7	2.2	2.8	G
11	Hub DLC Monster Hunter Channel II	10272	0.75	2	2.5	G
12	Arena DLC XX Trials: Hunt-a-thon II	5520	0.85	1.1	1.35	G
13	SP Demo NX Single player: Slay Valstrax	4224	0.9	1.3	1.3	
14	SP Demo NX Multiplayer: Slay Valstrax	14400	0.8	1.5	2	
