ID	name	health	defense	KO	exhaust	GRank
0	Village 4 Jurassic Treasure: The Bug	2090	1	0.95	0.95	
1	Village 4 Tumbling Troublemaker	2090	1	0.95	0.95	
2	Village 5 Great Knuckleballs o' Fire!	1634	1	1	1	
3	Village 6 Volcano Triple Play	1862	1	1	1.05	
4	Village 6 Advanced: Seeing Red	2888	0.9	1.3	1.5	
5	Village 8 I See It Rollin'...	3914	0.95	1.1	1.2	
6	Village 9 Desert Double Act	3230	0.95	1.3	1.3	
7	Village 9 Jurassic Frontier Fracas	3002	0.95	1.3	1.3	
8	Hub 2 Walk 'n Roll	2774	0.95	1.1	1.2	
9	Hub 2 Tongue-Tied	2774	0.95	1.1	1.2	
10	Hub 3 Rumble in the Volcano	2318	0.95	1	1.1	
11	Hub 5 Tumbling Troublemaker	4256	0.85	1.3	1.5	
12	Hub 5 Status: Effected	3458	0.85	1.3	1.5	
13	Hub 5 Hunt, Sweat, and Tears	3116	0.9	1.3	1.5	
14	Hub G2 The Legend of King Apple	8816	0.8	1.4	1.85	G
15	Hub G2 I See It Rollin'...	8816	0.8	1.4	1.85	G
16	Hub G2 The Next Stage of E-Volvi-lution	7106	0.8	1.4	1.85	G
17	Hub G3 Arena Bakalaka-Battle! Woo!	7676	0.8	1.5	1.9	G
18	Village 9 A Poison Paradise	3572	0.95	1.3	1.3	
19	Hub 7 The Ball's in Your Court	4712	0.85	1.3	1.6	
20	Hub 1 DLC Jump: Crimson Strongmen	2090	0.95	1	1.05	
21	Hub 1 DLC CoroCoro: Rolling Bowlers	3800	0.85	1.3	1.6	
22	Hub 1 DLC Case Closed: Monster Files	2888	0.85	1.3	1.5	
23	Hub 1 DLC SF: Ultimate Entrace Exam	3002	0.85	1.3	1.6	
24	Hub 1 DLC Fan Club: Arena Action	2204	0.85	1.3	1.6	
25	Arena DLC Event: Slay a Volvidon	2888	0.85	1.15	1.5	
26	Village 6 Advanced: Seeing Red	2888	0.9	1.1	1.5	
27	Hub 2 Walk 'n Roll (Gen)	2774	0.95	1	1.2	
28	Hub 2 Tongue-Tied (Gen)	2774	0.95	1	1.2	
29	Hub 5 Tumbling Troublemaker (Gen)	4256	0.85	1.2	1.5	
30	Hub 5 Status: Effected (Gen)	3458	0.85	1.2	1.5	
31	Hub 5 Hunt, Sweat, and Tears (Gen)	3116	0.9	1.1	1.5	
32	Hub 1 DLC CoroCoro: Rolling Bowlers (Gen)	3800	0.85	1.25	1.6	
33	Hub 1 DLC SF: Ultimate Entrace Exam (Gen)	3002	0.85	1.5	1.6	
