ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Advanced: Barrage of Blue	3639	0.9	1.3	1.5	
1	Village 8 Bloof!	5044	0.95	1.1	1.2	
2	Village 9 An Ice Surprise	4108	0.95	1.3	1.3	
3	Hub 5 Fin Finder	5824	0.85	1.3	1.5	
4	Hub 6 A Three Hour Tour	4888	0.85	1.3	1.6	
5	*Hub 6 Zamtrios Fight!*	7852	0.8	1.3	1.75	
6	Hub 7 A Cold Set of Armor	5200	0.85	1.3	1.6	
7	Hub 7 A Man's Arena is His Castle	4888	0.85	1.3	1.6	
8	Hub G2 Through Thick and Fin	10972	0.8	1.4	1.85	G
9	*Hub G3 Zamtrios, Right Ahead!*	18720	0.75	2	2.5	G
10	Drilltusk IV: Hunt	4888	0.85	1.3	1.6	
11	Drilltusk G5: Hunt	9724	0.75	1.6	2.2	G
12	Hub DLC Frozen Free-For-All	10659	0.8	1.5	1.9	G
13	Village 6 Advanced: Barrage of Blue (Gen)	3639	0.9	1.1	1.5	
14	Hub 5 Fin Finder (Gen)	5824	0.85	1.2	1.5	
15	Hub 6 A Three Hour Tour (Gen)	4888	0.85	1.25	1.6	
16	*Hub 6 Zamtrios Fight! (Gen)*	8788	0.8	1.7	1.75	
17	Hub 7 A Man's Arena is His Castle (Gen)	4888	0.85	1.25	1.6	
18	Drilltusk IV: Hunt (Gen)	4888	0.85	1.25	1.6	
