ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Tuff Turf	3233	1	1	1.05	
1	Village 6 The Bellowing Zinogre	3233	1	1	1.05	
2	Village 6 Advanced: Might is Right	3709	0.85	1.3	1.6	
3	Village 9 Taming of the Zinogre	5618	0.95	1.3	1.3	
4	Village 9 Whatdunnit	5618	0.95	1.3	1.3	
5	Village 10 Deserted Islands Horror	4346	0.95	1.3	1.4	
6	Village 10 Advanced: Moonlight Zinogre	8321	0.8	1.4	1.8	
7	*Village 10 Advanced: The Caravaneer's Challenge*	6572	0.8	1.4	1.8	
8	Hub 3 Topple the Monarch	4028	0.95	1.2	1.25	
9	Hub 3 Tuff Turf	4028	0.95	1.2	1.25	
10	Hub 3 Zinogre, Bearly Fazed	2915	0.95	1	1.1	
11	Hub 6 Topple the Monarch	6890	0.85	1.3	1.6	
12	Hub 7 A Roar to the Heavens	5300	0.85	1.3	1.6	
13	Hub 7 The Yukumo Gal Special	5300	0.85	1.3	1.6	
14	Hub 7 A Shocking Revelation!	4982	0.85	1.3	1.6	
15	*Hub 7 The Wolf and the Footbath*	8798	0.8	1.4	1.85	
16	*Hub 7 Searching for Secret Baths*	6413	0.85	1.3	1.6	
17	*Hub 7 Show Me Your Shaka-Strength*	6413	0.85	1.3	1.6	
18	Hub G3 Return from the Pinnacle	11819	0.8	1.5	1.9	G
19	Hub G3 Howl at the Moon	11819	0.8	1.5	1.9	G
20	Hub G4 Jurassic Skulduggery	9275	0.8	1.5	2	G
21	*Hub G4 Zinogre-enthusiasm*	20405	0.75	2	2.5	G
22	*Hub G4 Pinnacle Problems*	10864	0.75	2	2.5	G
23	Hub G4 Arena Allegiances	9275	0.75	1.5	2.1	G
24	Stonefist G3: Hunt	9911	0.8	1.5	2	G
25	Soulseer G5: Hunt	8480	0.75	1.7	2.3	G
26	*Hub 1 DLC Pisturesque Encounter*	12455	0.8	1.5	2	
27	Hub 1 DLC The Best of the Best	6731	0.85	1.3	1.6	
28	Hub 1 DLC The Greatest Hunter	6731	0.85	1.3	1.6	
29	*Hub DLC Into the Maw of Darkness*	12773	0.75	2	2.5	G
30	*Hub DLC Monster Hunter Channel I*	11024	0.75	1.6	2.2	G
31	Arena DLC Event: Hunt-a-thon 1	1643	0.85	1.15	1.5	
32	Arena DLC Event: Slay a Zinogre	4505	0.85	1.15	1.5	
33	Arena DLC XX Trials: Zinogre	4505	0.85	1.15	1.5	G
34	Hub 3 Topple the Monarch (Gen)	4028	0.95	1	1.25	
35	Hub 3 Tuff Turf (Gen)	4028	0.95	1	1.25	
36	Hub 3 Zinogre, Bearly Fazed (Gen)	2915	0.95	1	1.1	
37	Hub 7 A Shocking Revelation! (Gen)	4982	0.85	1.25	1.6	
38	*Hub 7 The Wolf and the Footbath (Gen)*	10070	0.8	2	1.85	
39	*Hub 7 Searching for Secret Baths (Gen)*	7526	0.85	1.6	1.6	
40	*Hub 7 Show Me Your Shaka-Strength (Gen)*	7526	0.85	1.6	1.6	
41	*Hub 1 DLC Pisturesque Encounter (Gen)*	12455	0.8	2.2	2	
42	Hub 1 DLC The Best of the Best (Gen)	6731	0.85	1.5	1.6	
43	Hub 1 DLC The Greatest Hunter (Gen)	6731	0.85	1.5	1.6	
