ID	name	raw	element	eleValue	affinity	sharpness	sharpOne	sharpTwo
0	Petrified Blade Lv. 1	60	(No Element)	0	0	Yellow	Yellow	Yellow
1	Petrified Blade Lv. 2	80	(No Element)	0	0	Yellow	Yellow	Yellow
2	Petrified Blade Lv. 3	90	(No Element)	0	0	Yellow	Green	Green
3	Petrified Blade Lv. 4	100	(No Element)	0	0	Green	Green	Green
4	Petrified Blade Lv. 5	110	(No Element)	0	0	Green	Green	Green
5	Petrified Blade Lv. 6	140	(No Element)	0	0	Green	Blue	Blue
6	Petrified Blade Lv. 7	170	(No Element)	0	0	Blue	Blue	White
7	Scholarly Blade Lv. 8	210	(No Element)	0	0	Blue	Blue	White
8	Scholarly Blade Lv. 9	240	(No Element)	0	0	Blue	Blue	White
9	Scholarly Blade Lv. 10	290	(No Element)	0	0	White	White	White
10	Sophos Blade Lv. 11	320	(No Element)	0	0	White	White	White
11	Iron Sword Lv. 1	70	(No Element)	0	0	Yellow	Yellow	Green
12	Iron Sword Lv. 2	80	(No Element)	0	0	Green	Green	Green
13	Iron Sword Lv. 3	100	(No Element)	0	0	Green	Green	Green
14	Iron Sword Lv. 4	110	(No Element)	0	0	Green	Green	Green
15	Iron Sword Lv. 5	120	(No Element)	0	0	Green	Green	Blue
16	Iron Sword Lv. 6	150	(No Element)	0	0	Green	Green	Blue
17	Iron Sword Lv. 7	180	(No Element)	0	0	Green	Blue	Blue
18	Carbalite Sword Lv. 8	230	(No Element)	0	0	Green	Blue	Blue
19	Carbalite Sword Lv. 9	260	(No Element)	0	0	Blue	Blue	White
20	Carbalite Sword Lv. 10	330	(No Element)	0	0	Blue	White	White
21	Eltalite Sword Lv. 11	360	(No Element)	0	0	Blue	White	White
22	Bone Cleaver Lv. 1	80	(No Element)	0	0	Yellow	Yellow	Yellow
23	Bone Cleaver Lv. 2	100	(No Element)	0	0	Yellow	Yellow	Yellow
24	Bone Cleaver Lv. 3	110	(No Element)	0	0	Yellow	Yellow	Yellow
25	Bone Cleaver Lv. 4	130	(No Element)	0	0	Yellow	Yellow	Yellow
26	Bone Cleaver Lv. 5	140	(No Element)	0	0	Green	Green	Green
27	Bone Cleaver Lv. 6	170	(No Element)	0	0	Green	Green	Green
28	Bone Cleaver Lv. 7	210	(No Element)	0	0	Green	Green	Green
29	Bone Slasher Lv. 8	240	(No Element)	0	0	Green	Green	Blue
30	Bone Slasher Lv. 9	270	(No Element)	0	0	Blue	Blue	White
31	Bone Slasher Lv. 10	330	(No Element)	0	0	Blue	Blue	White
32	Bone Splitter Lv. 11	360	(No Element)	0	0	Blue	White	Purple
