ID	name	raw	element	eleValue	affinity	sharpness	sharpOne	sharpTwo
0	Petrified Horn Lv. 1	60	(No Element)	0	0	Yellow	Yellow	Yellow
1	Petrified Horn Lv. 2	80	(No Element)	0	0	Yellow	Yellow	Yellow
2	Petrified Horn Lv. 3	90	(No Element)	0	0	Yellow	Green	Green
3	Petrified Horn Lv. 4	100	(No Element)	0	0	Green	Green	Green
4	Petrified Horn Lv. 5	110	(No Element)	0	0	Green	Green	Green
5	Petrified Horn Lv. 6	130	(No Element)	0	0	Green	Blue	Blue
6	Petrified Horn Lv. 7	160	(No Element)	0	0	Blue	Blue	White
7	Scholarly Horn Lv. 8	200	(No Element)	0	0	Blue	Blue	White
8	Scholarly Horn Lv. 9	230	(No Element)	0	0	Blue	Blue	White
9	Scholarly Horn Lv. 10	280	(No Element)	0	0	White	White	White
10	Sophos Horn Lv. 11	320	(No Element)	0	0	White	White	White
11	Iron Horn Lv. 1	70	(No Element)	0	0	Yellow	Yellow	Green
12	Iron Horn Lv. 2	80	(No Element)	0	0	Green	Green	Green
13	Iron Horn Lv. 3	100	(No Element)	0	0	Green	Green	Green
14	Iron Horn Lv. 4	110	(No Element)	0	0	Green	Green	Green
15	Iron Horn Lv. 5	120	(No Element)	0	0	Green	Green	Blue
16	Iron Horn Lv. 6	140	(No Element)	0	0	Green	Green	Blue
17	Iron Horn Lv. 7	170	(No Element)	0	0	Green	Blue	Blue
18	Wind Horn Lv. 8	220	(No Element)	0	0	Green	Blue	Blue
19	Wind Horn Lv. 9	240	(No Element)	0	0	Blue	Blue	White
20	Wind Horn Lv. 10	270	(No Element)	0	0	Blue	White	White
21	Grand Horn Lv. 11	330	(No Element)	0	0	Blue	White	White
22	Bone Horn Lv. 1	80	(No Element)	0	0	Yellow	Yellow	Yellow
23	Bone Horn Lv. 2	100	(No Element)	0	0	Yellow	Yellow	Yellow
24	Bone Horn Lv. 3	110	(No Element)	0	0	Yellow	Yellow	Yellow
25	Bone Horn Lv. 4	120	(No Element)	0	0	Yellow	Yellow	Yellow
26	Bone Horn Lv. 5	130	(No Element)	0	0	Green	Green	Green
27	Bone Horn Lv. 6	160	(No Element)	0	0	Green	Green	Green
28	Bone Horn Lv. 7	200	(No Element)	0	0	Green	Green	Green
29	Hardened Bone Horn Lv. 8	230	(No Element)	0	0	Green	Green	Blue
30	Hardened Bone Horn Lv. 9	250	(No Element)	0	0	Blue	Blue	White
31	Hardened Bone Horn Lv. 10	280	(No Element)	0	0	Blue	Blue	White
32	Heavy Bone Horn Lv. 11	350	(No Element)	0	0	Blue	White	Purple
33	Larinoth Ocarina Lv. 1	70	(No Element)	0	0	Yellow	Yellow	Yellow
34	Larinoth Ocarina Lv. 2	90	(No Element)	0	0	Yellow	Yellow	Yellow
35	Larinoth Ocarina Lv. 3	130	(No Element)	0	0	Yellow	Green	Green
36	Larinoth Ocarina Lv. 4	160	(No Element)	0	0	Yellow	Green	Green
37	Resonant Ocarina Lv. 5	220	(No Element)	0	0	Yellow	Blue	White
38	Resonant Ocarina Lv. 6	250	(No Element)	0	0	Green	Blue	White
39	Harmonious Ocarina Lv. 7	340	(No Element)	0	0	Blue	Blue	White
40	Sonic Glass Lv. 1	70	(No Element)	0	5	Green	Green	Green
41	Sonic Glass Lv. 2	80	(No Element)	0	5	Green	Blue	Blue
42	Sonic Glass Lv. 3	110	(No Element)	0	5	Blue	Blue	White
43	Sonic Glass Lv. 4	130	(No Element)	0	5	Blue	Blue	White
44	Glass Queen Lv. 5	180	(No Element)	0	5	White	White	White
45	Glass Queen Lv. 6	220	(No Element)	0	10	White	White	White
46	Glass Monarch Lv. 7	300	(No Element)	0	20	Purple	Purple	Purple
47	Vicello Nulo Lv. 1	80	(No Element)	0	0	Green	Green	Green
48	Vicello Nulo Lv. 2	90	(No Element)	0	0	Green	Green	Green
49	Vicello Nulo Lv. 3	120	(No Element)	0	0	Green	Blue	Blue
50	Vicello Nulo Lv. 4	130	(No Element)	0	0	Blue	Blue	White
51	Vicello Nulo Lv. 5	160	(No Element)	0	0	White	White	White
52	Vicello Unu Lv. 6	190	(No Element)	0	0	White	White	White
53	Vicello Unu Lv. 7	220	(No Element)	0	0	White	White	White
54	Vicello Unu Lv. 8	260	(No Element)	0	0	Purple	Purple	Purple
55	Vicello Du Lv. 9	310	(No Element)	0	0	Purple	Purple	Purple
56	Velociprey Balloon Lv. 1	90	(No Element)	0	0	Yellow	Yellow	Yellow
57	Velociprey Balloon Lv. 2	100	(No Element)	0	0	Green	Green	Green
58	Velociprey Balloon Lv. 3	110	(No Element)	0	0	Green	Green	Green
59	Velociprey Balloon Lv. 4	130	(No Element)	0	0	Green	Green	Green
60	Velociprey Balloon Lv. 5	150	(No Element)	0	0	Green	Green	Blue
61	Velociprey Horn Lv. 6	220	(No Element)	0	0	Green	Blue	Blue
62	Velociprey Horn Lv. 7	250	(No Element)	0	0	Green	Blue	Blue
63	Azure Velociprey Horn Lv. 8	340	(No Element)	0	0	Green	Blue	White
64	Giaprey Balloon Lv. 1	90	Ice	10	0	Yellow	Yellow	Yellow
65	Giaprey Balloon Lv. 2	100	Ice	14	0	Yellow	Yellow	Green
66	Giaprey Balloon Lv. 3	130	Ice	16	0	Green	Green	Blue
67	Giaprey Balloon Lv. 4	140	Ice	18	0	Green	Blue	Blue
68	Giaprey Balloon Lv. 5	170	Ice	20	0	Green	Blue	Blue
69	Giaprey Horn Lv. 6	200	Ice	22	0	Blue	Blue	White
70	Giaprey Horn Lv. 7	230	Ice	24	0	Blue	Blue	White
71	Silver Giaprey Horn Lv. 8	330	Ice	27	0	Blue	White	White
72	Bull Grunt Lv. 1	110	(No Element)	0	-5	Yellow	Yellow	Yellow
73	Bull Grunt Lv. 2	120	(No Element)	0	-5	Green	Green	Green
74	Bull Grunt Lv. 3	140	(No Element)	0	-5	Green	Green	Green
75	Bull Grunt Lv. 4	170	(No Element)	0	-5	Green	Green	Blue
76	Wild Grunt Lv. 5	230	(No Element)	0	-5	Blue	Blue	White
77	Wild Grunt Lv. 6	260	(No Element)	0	-5	Blue	Blue	White
78	Wild Grunt Lv. 7	280	(No Element)	0	-5	Blue	White	White
79	Barbarian Grunt Lv. 8	330	(No Element)	0	-5	White	White	White
80	Zurogong Primo Lv. 1	90	(No Element)	0	0	Yellow	Yellow	Yellow
81	Zurogong Primo Lv. 2	100	(No Element)	0	0	Green	Green	Green
82	Zurogong Primo Lv. 3	130	(No Element)	0	0	Green	Green	Green
83	Zurogong Primo Lv. 4	150	(No Element)	0	0	Green	Green	Blue
84	Zurogong Primo Lv. 5	170	(No Element)	0	0	Blue	Blue	Blue
85	Zurogong Secundo Lv. 6	220	(No Element)	0	0	Blue	White	White
86	Zurogong Secundo Lv. 7	240	(No Element)	0	0	Blue	White	White
87	Zurogong Tertio Lv. 8	330	(No Element)	0	0	White	White	Purple
88	Yukumo Flute Lv. 1	70	(No Element)	0	0	Green	Green	Green
89	Yukumo Flute Lv. 2	90	(No Element)	0	0	Green	Green	Green
90	Yukumo Flute Lv. 3	110	(No Element)	0	0	Green	Green	Green
91	Yukumo Flute Lv. 4	130	(No Element)	0	0	Green	Blue	Blue
92	Yukumo Horn Lv. 5	170	(No Element)	0	0	Green	Blue	Blue
93	Yukumo Horn Lv. 6	220	(No Element)	0	0	Green	Blue	Blue
94	Yukumo Horn Lv. 7	280	(No Element)	0	0	Green	Blue	Blue
95	Hot Spring Horn Lv. 8	330	(No Element)	0	0	Green	Blue	White
96	Metal Bagpipe Lv. 1	100	(No Element)	0	0	Yellow	Green	Green
97	Metal Bagpipe Lv. 2	110	(No Element)	0	0	Green	Green	Green
98	Metal Bagpipe Lv. 3	120	(No Element)	0	0	Green	Green	Green
99	Metal Bagpipe Lv. 4	130	(No Element)	0	0	Green	Green	Blue
100	Metal Bagpipe Lv. 5	140	(No Element)	0	0	Green	Green	Blue
101	Metal Bagpipe Lv. 6	170	(No Element)	0	0	Blue	Blue	White
102	Great Bagpipe Lv. 7	200	(No Element)	0	0	Blue	White	White
103	Great Bagpipe Lv. 8	230	(No Element)	0	0	Blue	White	White
104	Energetic Bagpipe Lv. 9	320	(No Element)	0	0	Blue	White	White
105	Vicello Nulo (G) Lv. 1	90	Para	12	0	Yellow	Green	Green
106	Vicello Nulo (G) Lv. 2	100	Para	15	0	Green	Green	Green
107	Vicello Nulo (G) Lv. 3	120	Para	18	0	Blue	Blue	Blue
