ID	name	raw	element	eleValue	affinity	sharpness	sharpOne	sharpTwo
0	Petrified Saber Lv. 1	60	(No Element)	0	0	Yellow	Yellow	Yellow
1	Petrified Saber Lv. 2	80	(No Element)	0	0	Yellow	Yellow	Yellow
2	Petrified Saber Lv. 3	90	(No Element)	0	0	Yellow	Green	Green
3	Petrified Saber Lv. 4	100	(No Element)	0	0	Green	Green	Green
4	Petrified Saber Lv. 5	110	(No Element)	0	0	Green	Green	Green
5	Petrified Saber Lv. 6	140	(No Element)	0	0	Green	Blue	Blue
6	Petrified Saber Lv. 7	170	(No Element)	0	0	Blue	Blue	White
7	Scholarly Saber Lv. 8	210	(No Element)	0	0	Blue	Blue	White
8	Scholarly Saber Lv. 9	240	(No Element)	0	0	Blue	Blue	White
9	Scholarly Saber Lv. 10	290	(No Element)	0	0	White	White	White
10	Sophos Saber Lv. 11	320	(No Element)	0	0	White	White	White
11	Iron Katana Lv. 1	70	(No Element)	0	0	Yellow	Yellow	Yellow
12	Iron Katana Lv. 2	80	(No Element)	0	0	Green	Green	Green
13	Iron Katana Lv. 3	100	(No Element)	0	0	Green	Green	Green
14	Iron Katana Lv. 4	110	(No Element)	0	0	Green	Green	Green
15	Iron Katana Lv. 5	120	(No Element)	0	0	Green	Green	Green
16	Iron Katana Lv. 6	150	(No Element)	0	0	Green	Green	Blue
17	Iron Katana Lv. 7	180	(No Element)	0	0	Green	Blue	Blue
18	Iron Gospel Lv. 8	230	(No Element)	0	0	Green	Blue	Blue
19	Iron Gospel Lv. 9	260	(No Element)	0	0	Blue	Blue	White
20	Iron Gospel Lv. 10	330	(No Element)	0	0	Blue	White	White
21	Iron Banisher Lv. 11	360	(No Element)	0	0	Blue	White	White
22	Serrated Jaw Lv. 1	80	(No Element)	0	0	Yellow	Yellow	Yellow
23	Serrated Jaw Lv. 2	100	(No Element)	0	0	Yellow	Yellow	Yellow
24	Serrated Jaw Lv. 3	110	(No Element)	0	0	Yellow	Yellow	Yellow
25	Serrated Jaw Lv. 4	130	(No Element)	0	0	Yellow	Yellow	Yellow
26	Serrated Jaw Lv. 5	140	(No Element)	0	0	Green	Green	Green
27	Serrated Jaw Lv. 6	160	(No Element)	0	0	Green	Green	Blue
28	Serrated Jaw Lv. 7	190	(No Element)	0	0	Blue	Blue	White
29	Serrated Maw Lv. 8	220	(No Element)	0	0	Blue	White	White
30	Serrated Maw Lv. 9	250	(No Element)	0	0	Blue	White	White
31	Serrated Maw Lv. 10	310	(No Element)	0	0	White	White	White
32	Serrated Chasm Lv. 11	340	(No Element)	0	0	White	White	Purple
33	Bone Lv. 1	90	(No Element)	0	-5	Yellow	Yellow	Yellow
34	Bone Lv. 2	110	(No Element)	0	-5	Yellow	Yellow	Yellow
35	Bone Lv. 3	120	(No Element)	0	-5	Yellow	Yellow	Yellow
36	Bone Lv. 4	160	(No Element)	0	-5	Yellow	Green	Green
37	Bone Lv. 5	190	(No Element)	0	-5	Green	Green	Green
38	Large Bone Lv. 6	240	(No Element)	0	-5	Green	Green	Blue
39	Large Bone Lv. 7	270	(No Element)	0	-10	Green	Blue	Blue
40	Large Bone Lv. 8	310	(No Element)	0	-10	Green	Blue	Blue
41	Oversized Bone Lv. 9	370	(No Element)	0	-15	Green	Blue	Blue
42	Dark Scythe Lv. 1	110	(No Element)	0	-15	Green	Green	Green
43	Dark Scythe Lv. 2	120	(No Element)	0	-15	Green	Green	Green
44	Dark Scythe Lv. 3	140	(No Element)	0	-10	Green	Green	Green
45	Dark Scythe Lv. 4	170	(No Element)	0	-10	Green	Green	Green
46	Dark Scythe Lv. 5	190	(No Element)	0	-10	Green	Green	Blue
47	Tormentor Lv. 6	240	(No Element)	0	-10	Green	Blue	Blue
48	Tormentor Lv. 7	270	(No Element)	0	-10	Blue	Blue	Blue
49	Tormentor Lv. 8	300	(No Element)	0	-10	Blue	Blue	White
50	Darkness Within Lv. 9	360	(No Element)	0	-10	Blue	Purple	Purple
51	Anteka Blade Lv. 1	90	(No Element)	0	0	Yellow	Yellow	Yellow
52	Anteka Blade Lv. 2	100	(No Element)	0	0	Green	Green	Green
53	Anteka Blade Lv. 3	130	(No Element)	0	0	Green	Green	Green
54	Anteka Blade Lv. 4	150	(No Element)	0	0	Green	Green	Green
55	Anteka Rack Lv. 5	220	(No Element)	0	0	Blue	Blue	Blue
56	Anteka Rack Lv. 6	260	(No Element)	0	0	Blue	White	White
57	Anteka Cry Lv. 7	340	(No Element)	0	0	White	White	Purple
58	Plume Sword Lv. 1	70	(No Element)	0	0	Green	Green	Green
59	Plume Sword Lv. 2	80	(No Element)	0	0	Green	Green	Green
60	Plume Sword Lv. 3	100	(No Element)	0	0	Green	Green	Green
61	Plume Sword Lv. 4	140	(No Element)	0	0	Green	Blue	Blue
62	Plume Sword Lv. 5	150	(No Element)	0	0	Green	Blue	Blue
63	Plume Sword Lv. 6	190	(No Element)	0	0	Blue	Blue	Blue
64	Plumage Sword Lv. 7	210	(No Element)	0	0	Blue	Blue	White
65	Plumage Sword Lv. 8	240	(No Element)	0	0	Blue	White	White
66	Plumage Sword Lv. 9	300	(No Element)	0	0	White	White	White
67	Grand Plumager Lv. 10	330	(No Element)	0	0	White	White	Purple
68	Blango Destroyer Lv. 1	80	Ice	10	0	Yellow	Yellow	Yellow
69	Blango Destroyer Lv. 2	100	Ice	15	0	Green	Green	Green
70	Blango Destroyer Lv. 3	110	Ice	20	0	Green	Green	Green
71	Blango Destroyer Lv. 4	140	Ice	25	0	Green	Green	Green
72	Blango Destroyer Lv. 5	180	Ice	27	0	Green	Blue	Blue
73	Blango Obliterator Lv. 6	200	Ice	30	0	Green	Blue	Blue
