ID	name	raw	element	eleValue	affinity	sharpness	sharpOne	sharpTwo
0	Petrified Lance Lv. 1	60	(No Element)	0	0	Yellow	Yellow	Yellow
1	Petrified Lance Lv. 2	80	(No Element)	0	0	Yellow	Yellow	Yellow
2	Petrified Lance Lv. 3	90	(No Element)	0	0	Yellow	Green	Green
3	Petrified Lance Lv. 4	100	(No Element)	0	0	Green	Green	Green
4	Petrified Lance Lv. 5	110	(No Element)	0	0	Green	Green	Green
5	Petrified Lance Lv. 6	140	(No Element)	0	0	Green	Blue	Blue
6	Petrified Lance Lv. 7	170	(No Element)	0	0	Blue	Blue	White
7	Scholarly Lance Lv. 8	210	(No Element)	0	0	Blue	Blue	White
8	Scholarly Lance Lv. 9	240	(No Element)	0	0	Blue	Blue	White
9	Scholarly Lance Lv. 10	290	(No Element)	0	0	White	White	White
10	Sophos Lance Lv. 11	320	(No Element)	0	0	White	White	White
11	Iron Lance Lv. 1	70	(No Element)	0	0	Yellow	Yellow	Green
12	Iron Lance Lv. 2	80	(No Element)	0	0	Green	Green	Green
13	Iron Lance Lv. 3	100	(No Element)	0	0	Green	Green	Green
14	Iron Lance Lv. 4	110	(No Element)	0	0	Green	Green	Green
15	Iron Lance Lv. 5	120	(No Element)	0	0	Green	Green	Blue
16	Iron Lance Lv. 6	150	(No Element)	0	0	Green	Green	Blue
17	Iron Lance Lv. 7	180	(No Element)	0	0	Green	Blue	Blue
18	Millennial Lance Lv. 8	230	(No Element)	0	0	Green	Blue	Blue
19	Millennial Lance Lv. 9	260	(No Element)	0	0	Blue	Blue	White
20	Millennial Lance Lv. 10	330	(No Element)	0	0	Blue	White	White
21	New Millennium Lv. 11	360	(No Element)	0	0	Blue	White	White
22	Bone Lance Lv. 1	80	(No Element)	0	0	Yellow	Yellow	Yellow
23	Bone Lance Lv. 2	100	(No Element)	0	0	Yellow	Yellow	Yellow
24	Bone Lance Lv. 3	110	(No Element)	0	0	Yellow	Yellow	Yellow
25	Bone Lance Lv. 4	130	(No Element)	0	0	Yellow	Yellow	Yellow
26	Bone Lance Lv. 5	140	(No Element)	0	0	Green	Green	Green
27	Bone Lance Lv. 6	160	(No Element)	0	0	Green	Green	Green
28	Bone Lance Lv. 7	210	(No Element)	0	0	Green	Green	Green
29	Hard Bone Lance Lv. 8	240	(No Element)	0	0	Blue	Blue	White
30	Hard Bone Lance Lv. 9	270	(No Element)	0	0	Blue	Blue	White
31	Hard Bone Lance Lv. 10	330	(No Element)	0	0	Blue	Blue	White
32	Heavy Bone Lance Lv. 11	360	(No Element)	0	0	Blue	White	Purple
33	Thane Lance Lv. 1	80	(No Element)	0	0	Green	Green	Green
34	Thane Lance Lv. 2	90	(No Element)	0	0	Green	Green	Green
35	Thane Lance Lv. 3	100	(No Element)	0	0	Green	Green	Green
36	Thane Lance Lv. 4	120	(No Element)	0	0	Green	Green	Green
37	Thane Lance Lv. 5	140	(No Element)	0	0	Green	Green	Green
38	Thane Lance Lv. 6	160	(No Element)	0	0	Blue	Blue	Blue
39	Knight Lance Lv. 7	220	(No Element)	0	0	Blue	Blue	Blue
40	Knight Lance Lv. 8	250	(No Element)	0	0	Blue	Blue	White
41	Knight Lance Lv. 9	300	(No Element)	0	0	White	White	White
42	Cavalry Lance Lv. 10	340	(No Element)	0	0	White	White	Purple
43	Longhorn Spear Lv. 1	120	(No Element)	0	0	Yellow	Yellow	Yellow
44	Longhorn Spear Lv. 2	140	(No Element)	0	0	Yellow	Yellow	Yellow
45	Longhorn Spear Lv. 3	150	(No Element)	0	0	Green	Green	Green
46	Longhorn Spear Lv. 4	160	(No Element)	0	0	Green	Green	Green
47	Longhorn Spear Lv. 5	180	(No Element)	0	0	Green	Green	Green
48	Longtusk Spear Lv. 6	220	(No Element)	0	0	Blue	Blue	Blue
49	Longtusk Spear Lv. 7	280	(No Element)	0	0	White	White	White
50	Longfang Spear Lv. 8	340	(No Element)	0	0	White	White	White
51	Spiked Spear Lv. 1	80	(No Element)	0	0	Green	Green	Green
52	Spiked Spear Lv. 2	90	(No Element)	0	0	Green	Green	Green
53	Spiked Spear Lv. 3	130	(No Element)	0	0	Green	Green	Green
54	Spiked Spear Lv. 4	180	(No Element)	0	0	Green	Blue	Blue
55	Spiked Javelin Lv. 5	240	(No Element)	0	0	Green	Blue	Blue
56	Spiked Javelin Lv. 6	260	(No Element)	0	0	Blue	White	White
57	Spiked Javelin Lv. 7	320	(No Element)	0	0	Blue	White	White
58	Merciless Spike Lv. 8	350	(No Element)	0	0	Blue	White	White
59	Ploshasta Lv. 1	110	(No Element)	0	-10	Yellow	Yellow	Yellow
60	Ploshasta Lv. 2	120	(No Element)	0	-10	Yellow	Green	Green
61	Ploshasta Lv. 3	150	(No Element)	0	-10	Green	Green	Green
62	Ploshasta Lv. 4	170	(No Element)	0	-15	Green	Blue	Blue
63	Ploshasta Lv. 5	200	(No Element)	0	-15	Blue	Blue	White
64	Rhenohasta Lv. 6	230	(No Element)	0	-15	Blue	White	White
65	Rhenohasta Lv. 7	260	(No Element)	0	-15	Blue	White	White
66	Rhenohasta Lv. 8	320	(No Element)	0	-15	White	White	White
67	Rhenoplos Spear Lv. 9	350	(No Element)	0	-15	White	Purple	Purple
68	Ludroth Bone Spear Lv. 1	100	(No Element)	0	0	Yellow	Yellow	Green
69	Ludroth Bone Spear Lv. 2	120	(No Element)	0	0	Green	Green	Green
70	Ludroth Bone Spear Lv. 3	150	(No Element)	0	0	Blue	Blue	White
71	Ludroth Bone Spear Lv. 4	170	(No Element)	0	0	Blue	Blue	White
72	Ludroth Impaler Lv. 5	190	(No Element)	0	0	Blue	White	White
73	Ludroth Impaler Lv. 6	240	(No Element)	0	0	White	White	White
74	Ludroth Foampaler Lv. 7	330	(No Element)	0	0	White	White	Purple
75	Wild Boar Lance Lv. 1	100	(No Element)	0	0	Yellow	Yellow	Yellow
76	Wild Boar Lance Lv. 2	110	(No Element)	0	0	Yellow	Yellow	Yellow
77	Wild Boar Lance Lv. 3	140	(No Element)	0	0	Yellow	Yellow	Green
78	Wild Boar Lance Lv. 4	170	(No Element)	0	0	Yellow	Green	Green
79	Wild Boar Lance Lv. 5	190	(No Element)	0	0	Green	Green	Green
80	Bulldrome Spear Lv. 6	230	(No Element)	0	0	Green	Blue	Blue
81	Bulldrome Spear Lv. 7	260	(No Element)	0	0	Green	Blue	Blue
82	Bulldrome Spear Lv. 8	290	(No Element)	0	0	Green	Blue	White
83	Bulldrome Tuskspear Lv. 9	340	(No Element)	0	0	Blue	White	White
84	Yukumo Lance Lv. 1	70	(No Element)	0	0	Green	Green	Green
85	Yukumo Lance Lv. 2	90	(No Element)	0	0	Green	Green	Green
86	Yukumo Lance Lv. 3	120	(No Element)	0	0	Green	Green	Green
87	Yukumo Lance Lv. 4	140	(No Element)	0	0	Green	Blue	Blue
88	Yukumo Stinger Lv. 5	180	(No Element)	0	0	Green	Blue	Blue
89	Yukumo Stinger Lv. 6	260	(No Element)	0	0	Green	Blue	Blue
90	Yukumo Stinger Lv. 7	320	(No Element)	0	0	Green	Blue	Blue
91	Hot Spring Stinger Lv. 8	350	(No Element)	0	0	Green	Blue	White
92	Rusted Lance Lv. 1	100	(No Element)	0	-70	Orange	Orange	Orange
93	Rusted Lance Lv. 2	100	(No Element)	0	-70	Orange	Orange	Yellow
94	Tarnished Lance Lv. 3	100	(No Element)	0	-70	Yellow	Yellow	Green
95	Drill Lance Lv. 1	80	Thunder	10	5	Green	Green	Green
