ID	part	cut	impact	shot	fire	water	thunder	ice	dragon	KO	exhaust
0	Head	50	45	40	10	5	30	0	35	100	100
1	Neck	45	40	30	10	5	20	0	25	0	100
2	Stomach	35	50	25	10	5	15	0	20	0	100
3	Back	20	25	30	10	5	15	0	20	0	100
4	Tail	35	30	40	10	5	30	0	30	0	100
5	Forelegs	35	30	20	10	5	20	0	20	0	100
6	Hind Legs	35	35	25	10	5	15	0	20	0	100
7	Wings	20	20	20	10	5	15	0	20	0	100
8	Head (Black Wind)	45	40	35	15	5	35	0	40	100	100
9	Neck (Black Wind)	40	40	30	10	5	25	0	35	0	100
10	Stomach (Black Wind)	25	40	25	5	0	20	0	10	0	100
11	Back (Black Wind)	20	25	20	5	0	20	0	10	0	100
12	Tail (Black Wind)	35	30	40	5	0	30	0	40	0	100
13	Forelegs (Black Wind)	30	25	20	5	0	25	0	10	0	100
14	Hind Legs (Black Wind)	30	30	25	5	0	20	0	10	0	100
15	Wings (Black Wind)	20	15	20	5	0	20	0	10	0	100
