ID	name	combo	MV	hitCount	damageType	sharpnessMod	elementMod	KO	exhaust	moveElement	mindsEye	aerial	miscNotes
0	Rapid Lv 1		12	1	Shot	1	1	0	0		Yes	No	
1	Rapid Lv 2		16	2	Shot	1	1	0	0		Yes	No	
2	Rapid Lv 2 (Hit 1)		12	1	Shot	1	1	0	0		Yes	No	
3	Rapid Lv 2 (Hit 2)		4	1	Shot	1	1	0	0		Yes	No	
4	Rapid Lv 3		19	3	Shot	1	1	0	0		Yes	No	
5	Rapid Lv 3 (Hit 1)		12	1	Shot	1	1	0	0		Yes	No	
6	Rapid Lv 3 (Hit 2)		4	1	Shot	1	1	0	0		Yes	No	
7	Rapid Lv 3 (Hit 3)		3	1	Shot	1	1	0	0		Yes	No	
8	Rapid Lv 4		21	4	Shot	1	1	0	0		Yes	No	
9	Rapid Lv 4 (Hit 1)		12	1	Shot	1	1	0	0		Yes	No	
10	Rapid Lv 4 (Hit 2)		4	1	Shot	1	1	0	0		Yes	No	
11	Rapid Lv 4 (Hit 3)		3	1	Shot	1	1	0	0		Yes	No	
12	Rapid Lv 4 (Hit 4)		2	1	Shot	1	1	0	0		Yes	No	
13	Rapid Lv 5		22	4	Shot	1	1	0	0		Yes	No	
14	Rapid Lv 5 (Hit 1)		12	1	Shot	1	1	0	0		Yes	No	
15	Rapid Lv 5 (Hit 2)		4	1	Shot	1	1	0	0		Yes	No	
16	Rapid Lv 5 (Hit 3)		3	1	Shot	1	1	0	0		Yes	No	
17	Rapid Lv 5 (Hit 4)		3	1	Shot	1	1	0	0		Yes	No	
18	Rapid Lv 1 (Status)		12	1	Shot	1	1	0	0	Poison 13	Yes	No	
19	Rapid Lv 2 (Status)		16	2	Shot	1	1	0	0	Poison 7	Yes	No	
20	Rapid Lv 2 (Hit 1 Status)		12	1	Shot	1	1	0	0	Poison 7	Yes	No	
21	Rapid Lv 2 (Hit 2 Status)		4	1	Shot	1	1	0	0	Poison 7	Yes	No	
22	Rapid Lv 3 (Status)		19	3	Shot	1	1	0	0	Poison 5	Yes	No	
23	Rapid Lv 3 (Hit 1 Status)		12	1	Shot	1	1	0	0	Poison 5	Yes	No	
24	Rapid Lv 3 (Hit 2 Status)		4	1	Shot	1	1	0	0	Poison 5	Yes	No	
25	Rapid Lv 3 (Hit 3 Status)		3	1	Shot	1	1	0	0	Poison 5	Yes	No	
26	Rapid Lv 4 (Status)		21	4	Shot	1	1	0	0	Poison 4	Yes	No	
27	Rapid Lv 4 (Hit 1 Status)		12	1	Shot	1	1	0	0	Poison 4	Yes	No	
28	Rapid Lv 4 (Hit 2 Status)		4	1	Shot	1	1	0	0	Poison 4	Yes	No	
29	Rapid Lv 4 (Hit 3 Status)		3	1	Shot	1	1	0	0	Poison 4	Yes	No	
30	Rapid Lv 4 (Hit 4 Status)		2	1	Shot	1	1	0	0	Poison 4	Yes	No	
31	Rapid Lv 5 (Status)		22	4	Shot	1	1	0	0	Poison 4	Yes	No	
32	Rapid Lv 5 (Hit 1 Status)		12	1	Shot	1	1	0	0	Poison 4	Yes	No	
33	Rapid Lv 5 (Hit 2 Status)		4	1	Shot	1	1	0	0	Poison 4	Yes	No	
34	Rapid Lv 5 (Hit 3 Status)		3	1	Shot	1	1	0	0	Poison 4	Yes	No	
35	Rapid Lv 5 (Hit 4 Status)		3	1	Shot	1	1	0	0	Poison 4	Yes	No	
36	Pierce Lv 1		15	3	Shot	1	1	0	0		Yes	No	
37	Pierce Lv 1 (1 Hit)		5	1	Shot	1	1	0	0		Yes	No	
38	Pierce Lv 2		20	4	Shot	1	1	0	0		Yes	No	
39	Pierce Lv 2 (1 Hit)		5	1	Shot	1	1	0	0		Yes	No	
40	Pierce Lv 3		25	5	Shot	1	1	0	0		Yes	No	
41	Pierce Lv 3 (1 Hit)		5	1	Shot	1	1	0	0		Yes	No	
42	Pierce Lv 4		25	5	Shot	1	1	0	0		Yes	No	
43	Pierce Lv 4 (1 Hit)		5	1	Shot	1	1	0	0		Yes	No	
