ID	name	health	defense	KO	exhaust	GRank
0	Village 2 Arzuros the Azure Beast	1032	1	0.95	0.95	
1	Village 5 Scientific Method	1032	1	1	1	
2	Village 6 Advanced: Barrage of Blue	1824	0.9	1.3	1.5	
3	Village 7 Azure Azure Can Be	2400	0.95	1	1.1	
4	Village 7 Season's Eatings	1824	0.95	1	1.1	
5	Village 7 Season's Eatings	1824	0.95	1	1.1	
6	Hub 1 The Ingredient of Legend	1608	0.95	1.1	1.15	
7	Hub 2 Deserted Island Dustup	1320	0.95	1	1.05	
8	Hub 2 Deserted Island Dustup	1320	0.95	1	1.05	
9	Hub 3 Zinogre Bearly Fazed	1464	0.95	1	1.1	
10	Hub 4 Arzuros Encroaches	2760	0.9	1.3	1.5	
11	Hub 5 Hunt Sweat and Tears	1967	0.9	1.3	1.5	
12	Hub G1 Fangs for the Bath	4344	0.8	1.4	1.8	G
13	Hub G1 Fangs for the Bath	4920	0.8	1.4	1.8	G
14	Hub G1 Riverside Rumble	6000	0.8	1.4	1.8	G
15	Hub G3 Arena Bakalaka-Battle! Woo!	4848	0.8	1.5	1.9	G
16	Village 6 The Right Cattitude	1824	1	1	1	
17	Hub 3 Out of the Frying Pan	1967	0.95	1.1	1.2	
18	Hub G4 Meownster Hunter Ultimate	3984	0.8	1.3	1.65	G
19	Redhelm X: Hunt	3192	0.85	1.3	1.6	
20	Hub 1 DLC Case Closed: Monster Files	1536	0.85	1.3	1.5	
21	Hub 1 DLC Fan Club: Arena Action	2256	0.85	1.3	1.6	
22	Arena DLC Event: Slay an Arzuros	5496	0.85	1.15	1.5	
23	Arena DLC Event: Hunt-a-thon 5	2976	0.85	1.3	1.6	
