ID	name	health	defense	KO	exhaust	GRank
0	Village 7 A Friend in Need	3344	0.95	1	1.1	
1	Village 7 Bag a Barroth!	3572	0.95	1	1.1	
2	Village 7 Dune the Honors	2660	0.95	1	1.1	
3	Village 9 Just a Mirage...?	2774	0.95	1.3	1.3	
4	Hub 5 Brute of the Sands	4256	0.85	1.3	1.5	
5	Hub G2 Dirty Deals	8017	0.8	1.4	1.85	G
6	Hub G2 Brute of the Sands	8017	0.8	1.4	1.85	G
7	Hub G3 Searing Sands	6764	0.8	1.5	1.9	G
8	Hub G3 Arena Bakalaka-Battle! Woo!	6764	0.8	1.5	1.9	G
9	*Hub G3 The Mud Must Flow*	13680	0.75	2	2.5	G
10	*Hub G4 A Bed of Sand*	7789	0.75	2	2.5	G
11	Grudge Match: Barroth	2888	0.85	1.15	1.5	
12	Hub 1 DLC Jump: The Desert Crown	4256	0.85	1.3	1.5	G
13	Hub DLC It'll Come Out in the Wash	6764	0.8	1.5	1.9	G
