ID	name	health	defense	KO	exhaust	GRank
0	Village 8 Perfectly Normal Rock	3298	0.95	1.1	1.2	
1	Village 8 Volcanic Vexations	2482	0.95	1.1	1.2	
2	Village 9 Trouble Comes in Threes	2482	0.95	1.3	1.3	
3	Hub 5 Disruptive Eruption	3808	0.85	1.3	1.5	
4	Hub G2 That's No Rock...	7174	0.8	1.4	1.85	G
5	Hub G2 Commission: Basarios	7174	0.8	1.4	1.85	G
6	*Hub G3 The Pinnacle of Good Records*	12240	0.75	2	2.5	G
7	*Hub G3 Material Old Girl*	9180	0.75	2	2.5	G
8	*Hub G4 Pinnacle Problems*	6969	0.75	2	2.5	G
9	Village 9 Basarios Chestbreaker	6255	0.85	1.1	1.8	
10	*Nightcloak G3: Hunt*	7378	0.75	1.5	2	G
11	Hub 1 DLC The Legend of Zelda: Power	3808	0.85	1.3	1.5	
12	Hub DLC A Solid Argument	6664	0.75	1.5	2.1	G
