ID	name	health	defense	KO	exhaust	GRank
0	Village 4 The New Tenant	2058	1	0.95	0.95	
1	Village 5 Two Roars in the Snow	1554	1	1	1	
2	Village 5 Two Roars in the Snow	1554	1	1	1	
3	Village 6 Bristly Fanged Beasts	1806	1	1	1.05	
4	Village 6 Advanced: State in Flux	2940	0.85	1.3	1.6	
5	Village 8 Whiteout	4074	0.95	1.1	1.2	
6	Village 9 Snowball Skirmish	3318	0.95	1.3	1.3	
7	Hub 2 The New Tenant	2814	0.95	1.1	1.2	
8	Hub 5 The New Tenant	4704	0.85	1.3	1.5	
9	Hub 6 Bl-Bl-Blangongas!	3948	0.85	1.3	1.6	
10	*Hub 6 Hyper for Holes*	6342	0.8	1.3	1.75	
11	Hub 7 A Man's Arena Match is His Castle	3948	0.85	1.3	1.6	
12	*Hub 7 The Fanged Beasts*	5082	0.85	1.3	1.6	
13	Hub G2 Earn Your Strength	8862	0.8	1.4	1.85	G
14	Hub G2 We've Reached Peak Blangonga	7350	0.8	1.4	1.85	G
15	Hub G2 We've Reached Peak Blangonga	6846	0.8	1.4	1.85	G
16	*Hub G3 Shhhhut Up*	15120	0.75	2	2.5	G
17	Snowbaron VIII: Hunt	4956	0.85	1.3	1.6	
18	*Elderfrost G4: Hunt*	9618	0.75	1.5	2.1	G
19	*Hub 1 DLC Star Fox: Battle at Arctic Ridge	9240	0.8	1.5	1.9	
20	Hub 1 DLC No Party Poopers!	4956	0.85	1.3	1.6	
21	Hub DLC "My Love is Like a Chill Wind...?"	8610	0.75	1.5	2.1	G
