ID	name	health	defense	KO	exhaust	GRank
0	Drilltusk I: Hunt	5546	0.85	1.3	1.5	
1	Drilltusk II: Capture	5546	0.85	1.3	1.5	
2	Drilltusk III: Hunt	5969	0.85	1.3	1.6	
3	Drilltusk IV: Hunt	4841	0.85	1.3	1.6	
4	Drilltusk V: Hunt	6391	0.85	1.3	1.6	
5	Drilltusk VI: Hunt	5546	0.85	1.3	1.6	
6	Drilltusk VII: Capture	6815	0.8	1.3	1.75	
7	Drilltusk VIII: Hunt	5828	0.85	1.3	1.6	
8	Drilltusk IX: Hunt	6251	0.85	1.4	1.65	
9	Drilltusk X: Hunt	6251	0.85	1.4	1.65	
10	Drilltusk X: Hunt	5828	0.85	1.3	1.6	
11	Drilltusk G1: Capture	9917	0.8	1.5	1.9	G
12	Drilltusk G2: Hunt	7520	0.8	1.5	1.9	G
13	Drilltusk G2: Hunt	8648	0.8	1.5	2	G
14	Drilltusk G3: Hunt	8507	0.8	1.5	2	G
15	Drilltusk G4: Hunt	11468	0.75	1.5	2.1	G
16	Drilltusk G5: Hunt	14100	0.75	2	2.5	G
17	Drilltusk EX: Hunt	22325	0.7	2.8	3.5	G
18	Arena DLC XX Trials: Drilltusk	7520	0.85	1.15	1.5	G
