ID	name	health	defense	KO	exhaust	GRank
0	Village 7 Investment Flanking	2400	0.95	1	1.1	
1	Hub 4 Enter the Giadrome	2760	0.9	1.3	1.5	
2	Hub G1 Survival of the Biggest	4344	0.8	1.4	1.8	G
3	Hub G2 Minion's Devotion	4632	0.8	1.4	1.85	G
4	Village 8 Cold-Blooded Giadrome	2112	0.95	1	1.1	
5	Village 8 Cold-Blooded Giadrome	2112	0.95	1	1.1	
6	Village 10 Snow Festival	3984	0.95	1.3	1.4	
7	Village 10 Drome Rush!	2112	0.95	1.3	1.4	
8	Hub G4 Ninjadromes	4272	0.8	1.3	1.7	G
9	Hub G4 Ninjadromes	4704	0.8	1.3	1.7	G
10	Hub DLC "My Love is Like a Chill Wind...?"	5280	0.75	1.5	2.1	G
11	Hub DLC Turnabout Takedown	2976	0.8	1.4	1.8	G
12	Hub DLC Turnabout Takedown	2976	0.8	1.4	1.8	G
