ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Dark Wings Dark Work	3050	1	1	1.05	
1	Village 6 Advanced: State in Flux	3500	0.85	1.3	1.6	
2	Village 9 Ruined and Tarnished	5300	0.95	1.3	1.3	
3	Village 9 Primal Panic	5300	0.95	1.3	1.3	
4	Village 9 Disaster on the Steppes	3650	0.95	1.3	1.3	
5	Hub 3 Dark Wings, Dark Work	3800	0.95	1.2	1.25	
6	Hub 6 Watch Your Steppe	6500	0.85	1.3	1.6	
7	Hub 6 Dread Locked	6500	0.85	1.3	1.6	
8	Hub 7 The Gathering Storm	4700	0.85	1.3	1.6	
9	*Hub 7 Putting the Gore in Magala*	7550	0.8	1.3	1.75	
10	Hub G3 Problem at the Pinnacle	11150	0.8	1.5	1.9	G
11	Hub G3 Eclipse at Jurassic Frontier	11150	0.8	1.5	1.9	G
12	*Hub G4 Something Wicked*	18000	0.75	2	2.5	G
13	Grimclaw G2: Hunt	9500	0.75	1.6	2.2	G
14	*Hub 1 DLC Magi: Rescue from the Fall*	10700	0.8	1.5	2	
15	*Hub DLC Monster Hunter Channel II*	9500	0.75	1.6	2.2	G
16	Arena DLC Event: Slay a Gore Magala	4250	0.85	1.15	1.5	
