ID	name	health	defense	KO	exhaust	GRank
0	Village 3 The Shadow in the Mountains	2070	1	0.95	0.95	
1	Village 4 Lurkin' in the Murk	1530	1	0.95	0.95	
2	Village 4 Lurkin' in the Murk	1530	1	0.95	0.95	
3	Village 5 Hunt-a-thon: Khezu	1530	1	1	1	
4	Village 8 A Seaway Just for You	4365	0.95	1.1	1.2	
5	Village 8 Khezu Deserve It	4365	0.95	1.1	1.2	
6	Hub 2 The Shadow in the Mountains	3015	0.95	1.1	1.2	
7	Hub 5 The Walls Have Eyes	5040	0.85	1.3	1.5	
8	Hub 5 The Hunter Games	3825	0.85	1.3	1.5	
9	Hub 6 A Three Hour Tour	4230	0.85	1.3	1.6	
10	*Hub 6 The Khezu and the Shadow*	6795	0.8	1.3	1.75	
11	Hub 7 A Shocking Revelation!	4230	0.85	1.3	1.6	
12	*Hub 7 The Marshlands Nightmare*	5445	0.85	1.3	1.6	
13	Hub G2 Chilled to the Marrow	9495	0.8	1.4	1.85	G
14	Hub G2 The Shadow in the Cave	9495	0.8	1.4	1.85	G
15	*Hub G3 Frozen Seaway Horror Story*	16200	0.75	2	2.5	G
16	*Hub G4 Arctic Ridge Allegiances*	9225	0.75	2	2.5	G
17	Arena Grudge Match: Khezu	2070	0.95	1	1.15	
